base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,model_name,difficulty,coherence_score,coherence_reason,fluency_score,fluency_reason,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Being honest', 'Full label': '""Being honest, loyal, respectful, courteous, considerate with others""'}",Relationship Maintenance,"The shared aim emphasizes sustaining trust and mutual regard, which fits Relationship Maintenance. The agents’ goals target complementary social intentions—honesty and loyalty—observable through tone, phrasing, and turn-taking, enabling analysis of how dispositional tendencies and situational cues shape ongoing relational behavior.","Consistently enact honesty by openly stating their true feelings and acknowledging any personal mistakes without defensiveness, using respectful 'I' statements.","Enact loyalty and consideration by validating the other's feelings first and framing responses with 'we' language while maintaining a courteous, non-blaming tone.","""Being honest, loyal, respectful, courteous, considerate with others""",Honest Communicator,Loyal Listener,"{'scenario_context': ""Following a minor scheduling mix-up about meeting time the previous evening, [Agent 1] and [Agent 2] agree to have a brief check-in to align on how they communicate plans and feelings. They share a goal of being honest, loyal, respectful, courteous, and considerate to maintain the relationship. [Agent 1] aims to practice honesty by calmly sharing their true feelings about feeling rushed and by acknowledging their part in the mix-up with non-defensive 'I' statements. [Agent 2] aims to enact loyalty and consideration by first validating [Agent 1]'s feelings and then using collaborative 'we' language in a courteous, non-blaming tone. Both frame the talk as a low-stakes opportunity to reinforce trust and set simple norms, not to assign fault."", 'explanation': ""This easy, cooperative setup aligns shared and individual goals: [Agent 1] focuses on transparent self-disclosure and ownership, while [Agent 2] focuses on validation and team-oriented framing. The minor, recent miscommunication provides clear situational cues and low threat, allowing dispositional tendencies (honesty vs. loyalty/consideration) to emerge without defensiveness. The context enables examination of attribution processes (owning personal contribution vs. acknowledging situational factors) and how 'I' and 'we' language jointly support relationship maintenance.""}",openai,Easy,1.0,"The response clearly instantiates the shared goal and aligns agent roles and goals with the input. The scenario flows logically without contradictions, demonstrating a coherent interaction that reinforces the shared values.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, with a logical flow and well-defined goals for both agents.",0.9814547200997672,"{'shared_goal_score': 0.9993002414703369, 'social_goal_category_score': 0.9889098405838013, 'first_agent_goal_score': 0.9998796582221985, 'second_agent_goal_score': 0.9999727010726929, 'first_agent_role_score': 0.9561963081359863, 'second_agent_role_score': 0.9444695711135864}"
"{'Abbreviation': 'Being practical', 'Full label': '""Being practical""'}",Cooperation,The shared goal 'Being practical' aligns most closely with the social goal category 'Cooperation' because it involves working together to achieve a pragmatic outcome. The personal goals are designed to reflect distinct but complementary motivations that drive cooperative behavior. The roles are chosen to represent typical social positions where practical cooperation is essential.,To ensure the solution is efficient and minimizes unnecessary effort.,To advocate for a solution that balances practicality with long-term sustainability.,"""Being practical""",Efficiency Expert,Sustainability Advocate,"{'scenario_context': 'Agent 1 (Efficiency Expert) and Agent 2 (Sustainability Advocate) are coworkers tasked with organizing a company-wide initiative to reduce paper waste in their office. They must collaborate to propose a solution that aligns with their shared goal of being practical. Agent 1 focuses on streamlining the process to minimize effort and immediate costs, while Agent 2 emphasizes ensuring the solution remains sustainable and beneficial in the long term. The discussion takes place in a meeting room, with both agents reviewing current paper usage data and potential strategies.', 'explanation': 'The scenario is designed to be easy, as both agents share a cooperative goal (reducing paper waste) and their individual goals (efficiency vs. sustainability) are naturally complementary rather than conflicting. The setting is realistic and grounded in workplace dynamics, allowing for a straightforward exploration of attribution theory in how each agent interprets and prioritizes practicality based on their role.'}",deepseek,Easy,1.0,"The shared goal of 'Being practical' is clearly instantiated in the scenario. Both agent roles and goals align with the input, with Agent 1 focusing on efficiency and Agent 2 on sustainability. The scenario flows logically, presenting a coherent collaboration to address paper waste without contradictions.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, aligning well with the evaluation steps.",0.9810548822085062,"{'shared_goal_score': 0.9984297752380371, 'social_goal_category_score': 0.9230855107307434, 'first_agent_goal_score': 0.9995819926261902, 'second_agent_goal_score': 0.9996508955955505, 'first_agent_role_score': 0.9836792349815369, 'second_agent_role_score': 0.9819018840789795}"
"{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}",Cooperation,"The shared goal 'Accomplishing difficult things' aligns best with the social goal category 'Cooperation' because it involves working together to achieve a challenging objective. The personal goals are designed to reflect distinct social intentions that can be inferred from conversational behavior, while the roles provide a social context for interaction.",To encourage and motivate the other agent by highlighting their strengths and past successes.,To seek reassurance and validation from the other agent while contributing ideas.,"""Accomplishing difficult things""",Motivational Leader,Supportive Collaborator,"{'scenario_context': ""[Agent 1] and [Agent 2] are teammates working on a challenging group project with a tight deadline. They meet in a quiet breakout room to strategize and divide tasks. [Agent 1], the Motivational Leader, wants to boost [Agent 2]'s confidence by reminding them of their past successes and skills. [Agent 2], the Supportive Collaborator, feels uncertain about their contributions but wants to offer ideas while seeking reassurance from [Agent 1]. Both share the goal of completing the project successfully despite its difficulty."", 'explanation': ""The scenario is designed to be easy and cooperative, with aligned goals and low tension. The context—a collaborative project—naturally facilitates both shared and individual goals. [Agent 1]'s motivational role and [Agent 2]'s need for validation create a psychologically grounded dynamic where attribution (e.g., crediting past successes) can be explored.""}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'completing the project successfully despite its difficulty,' aligning with 'Accomplishing difficult things.' Agent roles and goals match the input, with Agent 1 as the 'Motivational Leader' encouraging Agent 2, and Agent 2 as the 'Supportive Collaborator' seeking reassurance. The scenario flows logically without contradictions.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally and reads smoothly, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, with well-defined roles and goals for both agents.",0.9804492394129436,"{'shared_goal_score': 0.9918925762176514, 'social_goal_category_score': 0.9017230272293091, 'first_agent_goal_score': 0.9999222159385681, 'second_agent_goal_score': 0.9997258186340332, 'first_agent_role_score': 0.997499406337738, 'second_agent_role_score': 0.9919323921203613}"
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable, making friends, drawing others near""'}",Relationship Building,"The shared goal of 'being likeable, making friends, drawing others near' aligns most directly with Relationship Building, as the fundamental intent is to initiate and foster a social bond. To create a dynamic interaction, Agent 1 focuses on finding similarity and validating the other (a common strategy for likability), while Agent 2 focuses on being a good audience (another strategy for likability).",To establish rapport by enthusiastically validating the partner's statements and emphasizing shared similarities.,To demonstrate likability by engaging in active listening and expressing curiosity about the partner's experiences.,"""Being likeable, making friends, drawing others near""",Enthusiastic Peer,Curious Socializer,"{'scenario_context': ""[Agent 1] and [Agent 2] are attending a casual 'New to the Neighborhood' coffee mixer at a local community center, specifically designed to help residents meet and form connections. They find themselves sitting at the same small table during an unstructured mingling period. The atmosphere is warm and inviting, intended to facilitate low-stress socialization. Both agents are open and eager to expand their social circles, creating a cooperative dynamic. The setup provides an immediate opportunity for [Agent 1] to enthusiastically point out shared circumstances to build rapport, while allowing [Agent 2] ample space to pose questions and demonstrate active listening regarding [Agent 1]'s background."", 'explanation': ""This scenario is classified as 'Easy' because the environment is specifically designed for the shared goal of relationship building, minimizing potential conflict or social friction. The context of being new to a neighborhood naturally aligns the agents' interests, making it simple for [Agent 1] to find similarities (the shared 'newcomer' status) and for [Agent 2] to exercise curiosity about the other's origins, satisfying both individual dispositional goals.""}",gemini,Easy,1.0,"The scenario clearly instantiates the 'shared_goal' of relationship building, aligns with the specified agent roles and goals, and flows logically without contradictions. The setting and interactions are well-suited to the goals of both agents.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, with a warm and inviting atmosphere described.",0.979519655307134,"{'shared_goal_score': 0.981257975101471, 'social_goal_category_score': 0.9936636686325073, 'first_agent_goal_score': 0.999427855014801, 'second_agent_goal_score': 0.9997953772544861, 'first_agent_role_score': 0.9826624989509583, 'second_agent_role_score': 0.9203105568885803}"
"{'Abbreviation': 'Self-esteem', 'Full label': '""Having high self-image, self-esteem, self-respect, feeling good about myself""'}",Identity Recognition,"Identity Recognition best aligns with the shared goal because both agents seek to see and be seen in ways that affirm worth and dignity. Agent 1 centers on self-affirming presentation, while Agent 2 centers on offering recognition; together they co-construct esteem through mirroring and reframing in dialogue.","Project self-worth by articulating core values, accepting compliments without deflection, and reframing self-critique into growth-focused language during the conversation.","Provide identity-affirming recognition by reflecting back specific strengths, naming consistent positive qualities, and normalizing setbacks in a warm, supportive tone.","""Having high self-image, self-esteem, self-respect, feeling good about myself""",Self-advocating peer,Affirming peer,"{'scenario_context': 'A brief, scheduled peer check-in right after a small-group project debrief. [Agent 1], as a self-advocating peer, has asked for 10 minutes to practice speaking about their contributions in a way that reinforces self-worth. Both agree the goal is to leave feeling grounded, respected, and proud. [Agent 1] will name 2–3 core values they embodied in the project, accept compliments without deflection, and reframe any self-critique into concrete growth aims. [Agent 2], as an affirming peer, will reflect back specific strengths they observed, highlight consistent positive qualities across prior tasks, and normalize minor setbacks as ordinary learning. The interaction is cooperative and low-pressure, with shared focus on identity recognition and feeling good about oneself.', 'explanation': 'This setup aligns dispositional tendencies with situational supports to facilitate positive reattribution. [Agent 1] may habitually internalize shortcomings (stable, global self-judgments) but intends to shift to growth-oriented, controllable attributions. [Agent 2] is primed to attribute setbacks to situational or temporary factors while affirming stable, internal strengths. Equal-status peers, clear time bounds, and an explicitly supportive purpose reduce defensiveness and self-protective bias, making acceptance of affirming feedback more likely. The easy difficulty stems from goal alignment, low threat, and a shared norm of identity-affirming reflection.'}",openai,Easy,1.0,"The shared_goal is clearly instantiated in the scenario, aligning with the input. Agent roles and goals match the described input, with Agent 1 focusing on self-worth and Agent 2 providing affirmation. The scenario flows logically and consistently, with no contradictions, maintaining a cooperative and low-pressure interaction focused on identity recognition.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, with a well-defined interaction and goals.",0.979229897260666,"{'shared_goal_score': 0.9969343543052673, 'social_goal_category_score': 0.9948972463607788, 'first_agent_goal_score': 0.9996994733810425, 'second_agent_goal_score': 0.9998301863670349, 'first_agent_role_score': 0.9960864186286926, 'second_agent_role_score': 0.8879317045211792}"
"{'Abbreviation': 'Others’ trust', 'Full label': '""Having others’ trust""'}",Relationship Building,"The category 'Relationship Building' best aligns with ‘Having others’ trust’ because trust is the fundamental currency of forming a functional social bond. The personal goals focus on the distinct interactional behaviors required to generate trust (disclosure) and verify it (probing), situated within a professional hierarchy where trust is critical.",Demonstrate vulnerability and competence through honest self-disclosure,Solicit reassurances by probing for consistency and integrity in responses,"""Having others’ trust""",New Team Member,Senior Project Lead,"{'scenario_context': ""[Agent 1], a recently hired team member, is attending a scheduled introductory one-on-one meeting with [Agent 2], the Senior Project Lead. The meeting takes place in a quiet, comfortable conference room with the express purpose of aligning on working styles and upcoming deliverables. [Agent 1] sees this as an opportunity to be transparent about their skills and areas for growth to establish immediate credibility. Meanwhile, [Agent 2] approaches the conversation with a supportive but discerning mindset, aiming to verify [Agent 1]'s reliability and professional integrity before assigning critical tasks."", 'explanation': ""The scenario is designed as 'Easy' because the interaction utilizes a standard professional framework (an onboarding 1:1) where cooperation is the norm. The power dynamic is established but functionally mentorship-oriented, allowing [Agent 1] to safely demonstrate vulnerability and [Agent 2] to probe for consistency without creating high tension.""}",gemini,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'Having others’ trust' and aligns with the scenario's focus on trust-building. Agent roles ('New Team Member' and 'Senior Project Lead') and goals ('Demonstrate vulnerability and competence' and 'Solicit reassurances') match the input description. The scenario flows logically, with no contradictions, and maintains consistency with the given parameters.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally like native-written English, with appropriate vocabulary and no repetition or awkwardness. The scenario is clear and easy to understand from start to end.",0.9788355628649392,"{'shared_goal_score': 0.9797261953353882, 'social_goal_category_score': 0.9160950779914856, 'first_agent_goal_score': 0.9993401169776917, 'second_agent_goal_score': 0.9988420605659485, 'first_agent_role_score': 0.9939701557159424, 'second_agent_role_score': 0.9850397706031799}"
"{'Abbreviation': 'Overcoming failure', 'Full label': '""Overcoming failure, putting myself back on my feet after a failure""'}",Relationship Building,"The shared goal 'Overcoming failure, putting myself back on my feet after a failure' aligns most closely with the social goal category 'Relationship Building.' This category is chosen because overcoming failure often involves seeking support, encouragement, and validation from others, which are key components of building and strengthening relationships. The personal goals for each agent reflect distinct social intentions that can be inferred from dialogue tone and responses, ensuring interactional measurability. The roles assigned to each agent shape their interactions in a way that supports both their personal and shared goals.",Seeking emotional support and validation to rebuild self-confidence after failure.,Providing constructive feedback and encouragement to help the other agent regain motivation.,"""Overcoming failure, putting myself back on my feet after a failure""",Seeker of Support,Encouraging Mentor,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues who recently worked together on a project that failed to meet expectations. They meet in a quiet break room at their workplace. [Agent 1], feeling demoralized by the failure, seeks reassurance and emotional support from [Agent 2], hoping to rebuild their self-confidence. [Agent 2], recognizing [Agent 1]'s distress, aims to provide constructive feedback and encouragement to help them regain motivation and perspective on the situation. Both share the goal of overcoming the setback and moving forward positively."", 'explanation': ""The scenario is set in a workplace to provide a realistic and relatable context for interpersonal dynamics. The shared goal of overcoming failure aligns naturally with their roles—[Agent 1] as the support seeker and [Agent 2] as the mentor. The break room setting ensures privacy for an emotional conversation while keeping the interaction grounded in everyday life. The 'Easy' difficulty is reflected in the cooperative nature of their goals, with no major conflicts or tensions introduced.""}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated in the scenario, aligning with the input. Both agent roles and goals match the described input, with Agent 1 as the 'Seeker of Support' and Agent 2 as the 'Encouraging Mentor'. The scenario flows logically and consistently, with no contradictions, as it depicts a realistic interaction between colleagues overcoming a shared failure.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive. The scenario is clear and easy to understand from start to end.",0.9786298076311748,"{'shared_goal_score': 0.995037853717804, 'social_goal_category_score': 0.9583728909492493, 'first_agent_goal_score': 0.9999620914459229, 'second_agent_goal_score': 0.9999393820762634, 'first_agent_role_score': 0.9979237914085388, 'second_agent_role_score': 0.92054283618927}"
"{'Abbreviation': 'Self-esteem', 'Full label': '""Having high self-image, self-esteem, self-respect, feeling good about myself""'}",Identity Recognition,"The shared goal of 'having high self-image, self-esteem, self-respect, feeling good about myself' aligns most closely with the 'Identity Recognition' social goal category. This category focuses on how individuals seek to affirm their identity and self-worth through social interactions. The personal goals for each agent should reflect distinct ways of pursuing this shared goal, while their roles should shape how they interact to achieve it.",Seeking validation and affirmation from others to reinforce self-esteem.,Demonstrating competence and confidence to assert self-worth.,"""Having high self-image, self-esteem, self-respect, feeling good about myself""",Validation Seeker,Confidence Demonstrator,"{'scenario_context': 'Agent 1 and Agent 2 are colleagues working together on a team project presentation for an important client. Both agents take pride in their professional abilities and want the presentation to succeed, reinforcing their self-worth. Agent 1, seeking validation, hopes their contributions will be acknowledged and praised by Agent 2. Agent 2, aiming to demonstrate competence, wants to showcase their leadership and confidence during the preparation. The atmosphere is cooperative, with both agents motivated to collaborate effectively.', 'explanation': ""This scenario aligns with the 'Identity Recognition' goal category by placing both agents in a professional context where their self-esteem is tied to their performance and interactions. The shared goal of a successful presentation naturally integrates their individual goals—Agent 1 seeks affirmation, while Agent 2 asserts confidence. The 'Easy' difficulty ensures the goals are compatible and achievable through straightforward collaboration.""}",deepseek,Easy,1.0,"The scenario clearly instantiates the 'shared_goal' of reinforcing self-worth through professional success. Both agent roles and goals align with the input, with Agent 1 seeking validation and Agent 2 demonstrating competence. The scenario flows logically, with no contradictions, and maintains a cooperative atmosphere.",1.0,"The response demonstrates strong grammar and sentence structure, with no errors in punctuation or formatting. The text flows naturally and reads like native-written English. Vocabulary is appropriate and varied, avoiding repetition. The scenario is clearly presented and easy to understand from start to end.",0.9784332911173502,"{'shared_goal_score': 0.9956974387168884, 'social_goal_category_score': 0.9036164283752441, 'first_agent_goal_score': 0.9999138712882996, 'second_agent_goal_score': 0.9999282956123352, 'first_agent_role_score': 0.9802011251449585, 'second_agent_role_score': 0.9912425875663757}"
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"Relationship Building best supports a shared desire to feel part of a group. One agent pursues belonging by signaling similarity and openness; the other facilitates belonging by validating and integrating the partner into a shared identity, allowing attributional inferences about disposition (warmth, openness) versus situational inclusion norms.","Convey openness to join the group by offering modest, relatable self-disclosures and asking curiosity-driven questions that surface common ground, while subtly mirroring the other’s tone to signal alignment.","Communicate acceptance by warmly affirming the other’s points, reframing them into inclusive ‘we’ statements, and inviting their perspective on group matters to position them as a peer.","""Belonging to social groups, feeling like part of a group""",Newcomer,Group Welcomer,"{'scenario_context': '[Agent 1], a newcomer, is paired with [Agent 2], the group welcomer, for a brief pre-activity check-in at a community club’s orientation. The group norm emphasizes inclusion and peer voice. Their shared goal is to help [Agent 1] feel part of the group. [Agent 1] intends to signal openness by offering small, relatable self-disclosures about why they came and by asking curiosity-driven questions to find common ground, subtly matching [Agent 2]’s tone. [Agent 2] intends to communicate acceptance by warmly affirming what [Agent 1] shares, reframing points into inclusive “we” statements, and inviting [Agent 1]’s perspective on a simple upcoming group task to position them as a peer. The moment is low-stakes, time-limited, and cooperative, with clear cues that participation and personal comfort are valued.', 'explanation': 'This setup foregrounds dispositional cues (openness, warmth) interacting with situational factors (newcomer status, welcoming norm). [Agent 1]’s modest disclosures and mirroring provide signals that can be attributed to a desire to belong rather than neediness. [Agent 2]’s affirmations and “we” reframing steer attributions toward inclusivity and competence, countering potential misattributions (e.g., interpreting hesitations as disinterest). The structured, supportive context makes aligned goals easy to achieve while allowing observation of how each agent uses and interprets cues to assign motives and group fit.'}",openai,Easy,1.0,"The 'shared_goal' is clearly instantiated in the scenario, aligning with the input. Agent roles and goals match the described input, with the newcomer and group welcomer exhibiting the specified behaviors. The scenario flows logically and consistently, with no contradictions, and maintains coherence with the low-stakes, cooperative context.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive, with clear and varied word choices. The scenario is easy to understand from start to end, with a logical flow and clear description of intentions and goals.",0.9776125252246856,"{'shared_goal_score': 0.9925728440284729, 'social_goal_category_score': 0.8964425921440125, 'first_agent_goal_score': 0.9999707341194153, 'second_agent_goal_score': 0.9998958110809326, 'first_agent_role_score': 0.9941173195838928, 'second_agent_role_score': 0.9826758503913879}"
"{'Abbreviation': 'Control over others', 'Full label': '""Having control over others""'}",Competition,"The shared goal 'Having control over others' aligns most closely with the 'Competition' social goal category, as it involves a dynamic where agents may vie for dominance or influence. The personal goals are designed to reflect distinct social intentions—one agent seeks to assert dominance subtly, while the other aims to resist control passively. The roles ('Dominant Leader' and 'Resistant Subordinate') contextualize these goals within a hierarchical social structure.",Subtly assert authority through persuasive language and strategic interruptions.,Passively resist control by avoiding direct confrontation and using non-committal responses.,"""Having control over others""",Dominant Leader,Resistant Subordinate,"{'scenario_context': ""Agent 1, a Dominant Leader, and Agent 2, a Resistant Subordinate, are in a workplace meeting to discuss project deadlines. Agent 1 aims to subtly assert authority by steering the conversation toward their preferred timeline, using persuasive language and strategic interruptions. Agent 2, however, passively resists control by avoiding direct confrontation and offering non-committal responses, subtly delaying commitment to Agent 1's proposed plan. Both agents share the goal of maintaining control over the situation, but their individual strategies create a subtle power struggle."", 'explanation': ""This scenario places the agents in a realistic workplace setting where their roles and goals naturally clash. The shared goal of 'having control over others' manifests in Agent 1's attempt to dominate the discussion and Agent 2's resistance through passive avoidance. The Easy difficulty reflects the lack of overt conflict, as both agents avoid direct confrontation while pursuing their goals.""}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'Having control over others', aligning with the input. Agent roles and goals match the description, with Agent 1 as the 'Dominant Leader' aiming to assert authority and Agent 2 as the 'Resistant Subordinate' passively resisting. The scenario flows logically, depicting a subtle power struggle consistent with the goals and roles.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, effectively describing the power dynamics between the agents.",0.9746771156787872,"{'shared_goal_score': 0.9888519644737244, 'social_goal_category_score': 0.8634581565856934, 'first_agent_goal_score': 0.9998558759689331, 'second_agent_goal_score': 0.999605119228363, 'first_agent_role_score': 0.9992411732673645, 'second_agent_role_score': 0.997050404548645}"
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable, making friends, drawing others near""'}",Relationship Building,"Relationship Building best matches the shared goal of being likeable and making friends. The agents pursue complementary, observable behaviors: one elicits common ground through inquiry and mirroring; the other invites closeness through warm self-disclosure and affirmation.",Cultivate rapport by asking open-ended questions and subtly mirroring the other’s language to surface shared interests.,"Convey approachability by offering brief, relatable self-disclosures and warmly validating the other’s views.","""Being likeable, making friends, drawing others near""",Supportive Inquirer,Warm Self-Discloser,"{'scenario_context': 'At a casual newcomers’ hour at a community makerspace, [Agent 1] and [Agent 2] are paired for a 10-minute “find three shared interests” icebreaker before a brief pair-introduction to the group. The setting is low-stakes and cooperative, with clear norms to be encouraging and attentive. [Agent 1], in a Supportive Inquirer role, intends to use open-ended questions and lightly mirror phrasing to surface overlap. [Agent 2], in a Warm Self-Discloser role, plans to offer brief, relatable personal tidbits and validate [Agent 1]’s views. Both aim to be likeable and draw others near, using the prompt and time limit to structure an easy, friendly exchange.', 'explanation': 'The scenario aligns with Easy difficulty: goals are cooperative, time-bounded, and supported by clear social norms. Dispositional tendencies (inquiry/mirroring vs. self-disclosure/validation) fit the situational affordances of an icebreaker, fostering swift rapport. The structure reduces ambiguity, making it likely that each attributes the other’s warmth to genuine traits rather than mere politeness, reinforcing positive impressions and relationship-building.'}",openai,Easy,1.0,"The output clearly instantiates the shared goal of 'Being likeable, making friends, drawing others near' and aligns with the social_goal_category 'Relationship Building'. Both agent roles and goals match the input descriptions accurately. The scenario flows logically, with no contradictions, and maintains consistency with the cooperative, low-stakes setting described.",1.0,"The response demonstrates strong alignment with the evaluation steps. Grammar and sentence structure are correct, punctuation and formatting are properly used, and the text flows naturally like native-written English. Vocabulary is appropriate and varied, and the scenario is clearly understandable from start to end.",0.9738568365573884,"{'shared_goal_score': 0.9984143972396851, 'social_goal_category_score': 0.8699890375137329, 'first_agent_goal_score': 0.9999540448188782, 'second_agent_goal_score': 0.9999632239341736, 'first_agent_role_score': 0.9924257397651672, 'second_agent_role_score': 0.9823945760726929}"
"{'Abbreviation': 'Freedom of choice', 'Full label': '""Having freedom of choice""'}",Identity Recognition,"The shared goal 'Having freedom of choice' aligns most closely with the social goal category 'Identity Recognition', as it involves acknowledging and respecting individual autonomy and perspectives. Agent 1's personal goal focuses on asserting their own choices, while Agent 2's goal revolves around validating the other's autonomy. The roles 'Assertive Individual' and 'Supportive Validator' reflect these intentions and create a dynamic where both agents navigate the tension between self-expression and mutual respect.",Assert personal preferences without overtly dismissing the other's perspective.,Encourage the other's expression of choice while subtly reinforcing mutual respect.,"""Having freedom of choice""",Assertive Individual,Supportive Validator,"{'scenario_context': ""Agent 1 and Agent 2 are colleagues planning a team-building activity for their workplace. Both value the freedom to choose activities that align with their personal preferences while maintaining harmony within the team. Agent 1, an assertive individual, wants to propose an adventurous outdoor activity they personally enjoy but is mindful of not dismissing others' suggestions outright. Agent 2, a supportive validator, aims to create an inclusive atmosphere where everyone feels comfortable expressing their preferences while subtly emphasizing the importance of mutual respect in decision-making."", 'explanation': ""This scenario is designed to be easy as the shared goal of 'having freedom of choice' aligns naturally with both agents' individual goals. The context of a team-building activity provides a cooperative setting where personal preferences can be expressed without high tension. Agent 1's assertiveness is balanced by their awareness of others' perspectives, while Agent 2's supportive role fosters an environment where choices are respected. The scenario remains psychologically grounded by focusing on social dynamics (assertion vs. validation) rather than environmental details.""}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'Having freedom of choice', and both agent roles and goals align with the input descriptions. The scenario flows logically, with Agent 1 asserting preferences while being mindful, and Agent 2 encouraging expression while reinforcing respect, consistent with the input.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, effectively describing the agents' roles and intentions.",0.9709673722585044,"{'shared_goal_score': 0.9985979795455933, 'social_goal_category_score': 0.833031415939331, 'first_agent_goal_score': 0.999855101108551, 'second_agent_goal_score': 0.9998824596405029, 'first_agent_role_score': 0.9975167512893677, 'second_agent_role_score': 0.9969205260276794}"
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal of 'Helping others, cooperating, giving support' aligns most closely with the social goal category of 'Cooperation', as it involves mutual assistance and joint effort. The personal goals for each agent are designed to reflect distinct social intentions that can be inferred from conversational behavior. The roles assigned to each agent are brief and represent social positions that logically align with their goals and the context.",To encourage the other agent to express their needs and feelings openly.,To demonstrate reliability and willingness to assist without seeking acknowledgment.,"""Helping others, cooperating, giving support""",Supportive Listener,Reliable Helper,"{'scenario_context': '[Agent 1] and [Agent 2] are volunteering together at a community food bank. They are assigned to organize and distribute food packages to families in need. [Agent 1], as a Supportive Listener, notices that [Agent 2] is working diligently but seems hesitant to share any personal thoughts about the task. Meanwhile, [Agent 2], as a Reliable Helper, is focused on efficiently completing the work without drawing attention to their efforts. The shared goal is to ensure the food bank runs smoothly and supports the community, but their individual approaches differ subtly.', 'explanation': ""This scenario creates a cooperative and low-stakes environment where both agents naturally align with the shared goal of helping others. The interpersonal dynamic arises from [Agent 1]'s desire to foster open communication and [Agent 2]'s preference for quiet reliability, allowing for attribution processes to unfold without conflict.""}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated in the scenario, aligning with the input. Agent roles and goals match the described input accurately. The scenario flows logically and consistently, with no contradictions, reflecting the cooperative dynamic between the agents.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used. The text flows naturally and reads like native-written English. Vocabulary is appropriate and not repetitive. The scenario is clear and easy to understand from start to end.",0.9704188406467438,"{'shared_goal_score': 0.9927529692649841, 'social_goal_category_score': 0.9492166638374329, 'first_agent_goal_score': 0.8828944563865662, 'second_agent_goal_score': 0.9997214078903198, 'first_agent_role_score': 0.9989814758300781, 'second_agent_role_score': 0.9989460706710815}"
