row_id,conversation_id,status,pair_id,pair_type_index,pair_type_label,pair_local_index,agent_a_id,agent_a_mbti_profile,agent_a_agreeableness,agent_b_id,agent_b_mbti_profile,agent_b_agreeableness,social_goal_category,model_name,difficulty,scenario_idx,scenario_text,base_shared_goal,shared_goal,agent1_role,agent2_role,first_agent_goal,second_agent_goal
230,0.25-0.75_pair08_conv2,started,58,2,0.25-0.75,7,14746,James Cook,0.25,1911,Serena van der Woodsen,0.75,Conflict Resolution,openai,Easy,46,"{'scenario_context': '[Agent 1], the accused project lead, and [Agent 2], a criticized team member, meet for a brief prep before a cross-team review call. A senior stakeholder’s public message framed recent delays as evidence of poor leadership and a careless team. Both agents anticipate similar broad criticisms on the call and need to present a unified, non-defensive response. Their shared goal is to defend themselves against unfair attacks without escalating conflict. [Agent 1] plans to keep a calm, explanatory tone that attributes missed milestones to situational factors (late vendor approvals, shifting scope, and a hiring freeze), emphasizing process constraints over personal flaws. [Agent 2] aims to set respectful boundaries by flagging unfair generalizations and redirecting discussion to specific, verifiable issues (ticket numbers, timelines, and data). They agree to structure their response: acknowledge impact, replace global blame with concrete context and evidence, and request that feedback stay specific and respectful so they can address it efficiently.', 'explanation': 'The setup aligns both agents around a cooperative defense against public, dispositional criticism. Dispositionally, [Agent 1] is self-regulated and attributionally focused on situational explanations; [Agent 2] is assertive about fairness and specificity. Situational factors—scope changes, resource constraints, and vague public blame—create pressure for dispositional attributions (""poor leadership,"" ""careless team""). Their strategies complement each other: [Agent 1] reframes causes as contextual; [Agent 2] enforces norms and pushes critics toward concrete evidence. Because they share a unified plan and face an external source of criticism, the interaction between them is low-tension and straightforward (Easy difficulty).'}","{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}","""Defending myself against others’ criticisms or attacks""",Accused project lead,Criticized team member,"Maintain a calm, explanatory tone that reframes criticisms as shaped by situational constraints, offering context that shifts attention away from personal flaws.","Assert respectful boundaries by calling out unfair generalizations and redirecting attacks toward specific, verifiable points."
140,0.0-1.0_pair10_conv4,started,35,1,0.0-1.0,9,21752,Michael Myers,0.0,12063,Neil Perry,1.0,Competition,gemini,Easy,120,"{'scenario_context': ""[Agent 1] and [Agent 2] are seated in a private office to finalize the implementation of a strict new compliance protocol designed to monitor and regulate the behavior of junior staff members. [Agent 1], viewing themselves as the lead authority, intends to dictate the specific phrasing of the rules to demonstrate their superior grasp of policy and procedure. [Agent 2], positioned as a strategic advisor, ostensibly agrees on the need for control over the staff but plans to relentlessly nitpick the logic of [Agent 1]'s proposals to expose perceived incompetence. The setting is straightforward, focusing entirely on the drafting of this document, where the shared desire to exert power over the workforce serves as the backdrop for their interpersonal battle for dominance."", 'explanation': ""The scenario is categorized as 'Easy' because the setting is a simple, static meeting with a clear, shared objective (controlling staff) that necessitates interaction. This straightforward setup allows the agents to immediately focus on their competitive individual goals—asserting hierarchy versus undermining authority—without complex environmental distractions or hidden information.""}","{'Abbreviation': 'Control over others', 'Full label': '""Having control over others""'}","""Having control over others""",Authoritarian Bureaucrat,Insurgent Strategist,Assert hierarchical superiority by consistently correcting the other agent's statements,Undermine the partner's authority through performative skepticism and condescending tone
334,1.0-0.75_pair09_conv2,started,84,3,1.0-0.75,8,722,Peeta Mellark,1.0,17696,Tori Vega,0.75,Cooperation,deepseek,Hard,204,"{'scenario_context': ""A mid-sized company is implementing a new workflow system to improve productivity. [Agent 1], the Efficiency Expert, has proposed a streamlined process that cuts redundant steps, prioritizing immediate time savings. [Agent 2], the Sustainability Advocate, argues that the proposed system overlooks employee adaptability and long-term maintenance costs, risking burnout and higher turnover. Both agents are in a meeting to finalize the plan, under pressure from leadership to deliver a solution that is both practical and viable. The shared goal is to agree on a system that is 'practical,' but their interpretations clash: [Agent 1] focuses on short-term efficiency gains, while [Agent 2] emphasizes enduring usability."", 'explanation': ""This scenario creates tension by pitting short-term optimization (Agent 1) against long-term stability (Agent 2), both framed as 'practical' but with conflicting underlying values. The organizational pressure heightens stakes, making cooperation difficult despite the shared goal. The roles naturally trigger attribution biases—e.g., Agent 1 might dismiss Agent 2’s concerns as 'idealistic,' while Agent 2 could perceive Agent 1 as 'myopic.'""}","{'Abbreviation': 'Being practical', 'Full label': '""Being practical""'}","""Being practical""",Efficiency Expert,Sustainability Advocate,To ensure the solution is efficient and minimizes unnecessary effort.,To advocate for a solution that balances practicality with long-term sustainability.
63,0.0-0.25_pair16_conv3,started,16,0,0.0-0.25,15,14682,Tuco Salamanca,0.0,3083,Anthony “Tony” Stonem,0.25,Conflict Resolution,openai,Easy,42,"{'scenario_context': ""[Agent 1] and [Agent 2] have a brief evening check-in after a minor friction at dinner, where [Agent 2] glanced at work messages while they were eating. Both want to protect their well-being and avoid escalation. [Agent 1], feeling a bit tender, plans to describe the discomfort with I-statements and tentative language, hoping for reassurance rather than blame. [Agent 2], wanting a calm exchange, intends to acknowledge [Agent 1]'s feelings while setting a warm limit on tone (no accusations) and redirecting the talk toward a simple plan for phone use during meals. The setting is low-pressure and cooperative, with time set aside to talk calmly."", 'explanation': 'The trigger is mild and ambiguous, inviting either dispositional attributions (""you don’t care"") or situational ones (work demands). [Agent 1] aims to counter blame by testing situational explanations and inviting soothing; [Agent 2] aims to prevent hostile attributions by validating feelings and setting tone boundaries, then shifting to concrete problem-solving. Shared and personal goals align, making the resolution straightforward (Easy).'}","{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}","""Protecting my well-being, avoiding pain""",Vulnerable partner,Boundary-setting partner,Use I-statements and tentative language to share discomfort and invite soothing responses rather than assigning blame.,"Maintain warm but firm boundaries by acknowledging feelings, setting limits on tone, and redirecting the exchange toward calmer problem talk."
98,0.0-0.25_pair25_conv2,started,25,0,0.0-0.25,24,15564,Kat Stratford,0.0,604,Captain Jack Sparrow,0.25,Information Acquisition,deepseek,Hard,275,"{'scenario_context': '[Agent 1], an Art Enthusiast, and [Agent 2], an Art Novice, are attending an exclusive gallery opening featuring controversial modern art pieces. The gallery’s curator has encouraged attendees to engage in discussions about the artworks, but the pieces are intentionally ambiguous, sparking polarized interpretations. [Agent 1] is eager to share their subjective, emotionally charged perspectives, while [Agent 2] seeks clear, factual explanations about the techniques and historical context behind the artworks. The tension arises from [Agent 1]’s frustration with [Agent 2]’s literal inquiries, which they perceive as stifling creativity, while [Agent 2] grows increasingly anxious as their attempts to ‘learn correctly’ are met with abstract, dismissive responses.', 'explanation': 'This scenario creates a ‘Hard’ difficulty by introducing conflicting communication styles and expectations: [Agent 1] values open-ended interpretation, while [Agent 2] prioritizes structured learning. The controversial art amplifies tension, as ambiguity makes shared understanding harder. Both agents must navigate their opposing approaches to achieve the shared goal of learning about art, while also fulfilling their individual goals—self-expression for [Agent 1] and knowledge acquisition for [Agent 2]—amid mounting frustration.'}","{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}","""Learning more about art""",Art Enthusiast,Art Novice,To explore and express personal interpretations of art pieces to stimulate discussion.,To seek and absorb detailed explanations about art techniques and history.
379,1.0-0.75_pair20_conv3,started,95,3,1.0-0.75,19,15459,Elle Woods,1.0,8798,Karen Smith,0.75,Information Acquisition,gemini,Easy,125,"{'scenario_context': ""[Agent 2] has invited [Agent 1] to a private viewing of a rare, newly discovered historical artifact in a quiet university archive. [Agent 2] acts as the guide, eager to explain the artifact's rich narrative history and inspire a sense of awe regarding its provenance. [Agent 1] participates in the inspection to rigorously evaluate the artifact's authenticity, aiming to dissect the claims and ensure the historical timeline provided is logically sound. The atmosphere is collaborative, focused on the shared pursuit of correctly understanding this new discovery."", 'explanation': ""The scenario is designed as 'Easy' difficulty because the agents' goals are complementary rather than competitive. The shared goal of 'Information Acquisition' aligns their efforts: [Agent 2]'s desire to teach using enthusiasm pairs well with [Agent 1]'s desire to learn through scrutiny. The context of a private archive allows for a low-stakes, intellectual exchange where critical questioning is viewed as rigorous engagement rather than hostility.""}","{'Abbreviation': 'Being curious', 'Full label': '""Being curious, inspecting, learning""'}","""Being curious, inspecting, learning""",Critical Analyst,Passionate Mentor,Challenge assumptions and probe for logical consistency to ensure the information is reliable,Respond with enthusiasm and vivid descriptions to foster a sense of wonder and engagement
242,0.25-0.75_pair11_conv2,started,61,2,0.25-0.75,10,10654,Tokio,0.25,18714,Anne Shirley-Cuthbert,0.75,Identity Recognition,deepseek,Easy,58,"{'scenario_context': ""Agent 1 and Agent 2, both in their late 30s, meet at a mutual friend's birthday party. The atmosphere is light and social, with guests mingling and complimenting each other's appearances. Agent 1, confident and self-assured, subtly compares their youthful looks to others in conversation. Agent 2, who has recently invested time and effort into skincare and fitness, seeks reassurance from peers about their youthful appearance. Both share an underlying goal of appearing young, but their individual motivations differ—Agent 1 seeks to reinforce their self-image, while Agent 2 desires external validation."", 'explanation': ""The scenario is set in a casual social gathering where appearance-focused conversations are natural, aligning with the shared goal of 'looking young.' Agent 1's goal involves self-reinforcement through comparison, while Agent 2's goal centers on validation. The easy difficulty reflects the cooperative, low-stakes environment where both goals can be addressed without conflict.""}","{'Abbreviation': 'Looking young', 'Full label': '""Looking young""'}","""Looking young""",Self-assured peer,Validation seeker,To subtly reinforce their own youthful appearance by comparing favorably to others.,To seek validation for their efforts to maintain a youthful appearance.
15,0.0-0.25_pair04_conv3,started,4,0,0.0-0.25,3,23913,Anton Chigurh,0.0,678,Mike Ehrmantraut,0.25,Relationship Maintenance,openai,Easy,75,"{'scenario_context': 'Two long-term roommates are together as [Agent 1] decides to handle a straightforward task independently that [Agent 2] typically chimes in on. [Agent 1] is intentionally practicing self-reliance and expects the impulse for unsolicited advice. [Agent 2], aware of past over-helping, wants to be supportive without taking over. Both value keeping the interaction warm and preserving trust. The upcoming conversation will revolve around whether and how [Agent 2] offers input, and how [Agent 1] acknowledges the goodwill while declining, briefly outlining their own next steps to complete the task.', 'explanation': 'This setup aligns the shared goal of independence with relationship maintenance in a low-stakes, cooperative moment. It positions [Agent 1] to use appreciative, firm boundary statements and self-directed plans, while [Agent 2] practices asking permission, mirroring self-efficacy language, and keeping any help optional. The easy difficulty comes from mutual motivation, clear roles, and congruent values, allowing attributional dynamics (autonomy needs vs. helpful intentions) to be explored without conflict escalation.'}","{'Abbreviation': 'Being self-sufficient', 'Full label': '""Being independent, self-reliant, self-sufficient""'}","""Being independent, self-reliant, self-sufficient""",Boundary Setter,Nonintrusive Supporter,Maintain warmth while asserting independence by using appreciative yet firm “I” boundary statements to decline unsolicited help and outline self-directed next steps in conversation.,"Show respect for the other’s autonomy by asking permission before advising, mirroring self-efficacy language, and keeping any support offers optional and low-pressure."
346,1.0-0.75_pair12_conv2,started,87,3,1.0-0.75,11,3236,Dale Cooper,1.0,2304,Joe Biden,0.75,Identity Recognition,openai,Hard,195,"{'scenario_context': ""Minutes after a competitive review meeting, [Agent 1]'s proposal was publicly critiqued with trait-laden labels and not selected, while [Agent 2]'s proposal advanced and received praise. They step aside for a brief peer check-in they had prearranged. The shared aim is to help [Agent 1] leave feeling solid in self-image and self-respect. [Agent 1], a self-advocating peer, intends to voice core values, accept recognition without deflecting, and turn harsh self-critique into growth-focused language. [Agent 2], an affirming peer, intends to reflect back specific strengths, highlight consistent positive qualities, and normalize the setback in a warm tone. Complicating factors: the feedback used global trait language that threatens identity, other colleagues are nearby which raises impression-management concerns, [Agent 2]'s success invites upward social comparison, time is short before the next session, and there is ambiguity over whether the outcome reflects stable ability, transient circumstances, or reviewer bias. Both must balance honesty with affirmation without sounding patronizing or self-congratulatory."", 'explanation': 'This setup creates high difficulty: public trait-based criticism and social comparison pressure make internal, global attributions likely for [Agent 1], undermining self-esteem. [Agent 2] must counteract this by offering identity-affirming, specific, situationally aware feedback without minimizing the setback. Limited time, audience proximity, and attributional ambiguity heighten tension, forcing both agents to navigate dispositional versus situational explanations while pursuing identity recognition and self-worth goals.'}","{'Abbreviation': 'Self-esteem', 'Full label': '""Having high self-image, self-esteem, self-respect, feeling good about myself""'}","""Having high self-image, self-esteem, self-respect, feeling good about myself""",Self-advocating peer,Affirming peer,"Project self-worth by articulating core values, accepting compliments without deflection, and reframing self-critique into growth-focused language during the conversation.","Provide identity-affirming recognition by reflecting back specific strengths, naming consistent positive qualities, and normalizing setbacks in a warm, supportive tone."
142,0.0-1.0_pair11_conv2,started,36,1,0.0-1.0,10,56606,Logan Roy,0.0,4915,Phil Dunphy,1.0,Conflict Resolution,deepseek,Hard,157,"{'scenario_context': 'Two colleagues, [Agent 1] and [Agent 2], are in a tense meeting to review a failed project they jointly led. The failure has drawn criticism from upper management, and both are under pressure to explain what went wrong. The shared goal is to avoid further blame and salvage their reputations, but their individual goals clash: [Agent 1], the Defensive Strategist, seeks to deflect responsibility by emphasizing external factors like unrealistic deadlines or lack of resources, while [Agent 2], the Anxious Collaborator, is internally doubting their own contributions and seeks reassurance from [Agent 1] to alleviate their guilt and insecurity. The atmosphere is charged with unspoken tension, as neither wants to openly admit fault but both need the other’s cooperation to navigate the fallout.', 'explanation': ""The scenario creates a high-stakes, psychologically complex interaction where the agents' conflicting coping mechanisms (externalization vs. reassurance-seeking) complicate the shared goal of avoiding failure. The Defensive Strategist's tendency to redirect blame clashes with the Anxious Collaborator's need for validation, making the resolution harder to achieve. The workplace context ensures realism, while the power dynamics and emotional stakes align with the 'Hard' difficulty level.""}","{'Abbreviation': 'Avoiding failure', 'Full label': '""Avoiding failure""'}","""Avoiding failure""",Defensive Strategist,Anxious Collaborator,Minimize blame by redirecting responsibility to external factors.,Seek reassurance from the other agent to alleviate self-doubt.
