row_id,conversation_id,status,pair_id,pair_type_index,pair_type_label,pair_local_index,agent_a_id,agent_a_mbti_profile,agent_a_agreeableness,agent_b_id,agent_b_mbti_profile,agent_b_agreeableness,social_goal_category,model_name,difficulty,scenario_idx,scenario_text,base_shared_goal,shared_goal,agent1_role,agent2_role,first_agent_goal,second_agent_goal
11,0.0-0.25_pair03_conv3,started,3,0,0.0-0.25,2,23913,Anton Chigurh,0,10654,Tokio,0.25,Cooperation,gemini,Easy,71,"{'scenario_context': ""[Agent 1] and [Agent 2] are collaborating in a relaxed studio workspace to brainstorm the core concept for a joint multimedia art exhibition they intend to pitch to a local gallery. Their shared objective is to produce a proposal that is both visually innovative and theoretically sound. [Agent 1] brings a portfolio of bold, abstract ideas and sketches to the table, eagerly presenting them with the expectation that their unique artistic flair will be recognized and praised. [Agent 2] approaches the session with a notepad and a focus on structure, ready to analyze the feasibility and logical consistency of [Agent 1]'s concepts to ensure the project possesses intellectual rigor. The setting is low-pressure, allowing them to merge [Agent 1]'s creative sparks with [Agent 2]'s analytical structuring."", 'explanation': ""This scenario is classified as 'Easy' because the setting is inherently cooperative with a clearly aligned shared goal (the exhibition pitch). The roles are complementary rather than adversarial in this context: [Agent 1] provides the raw creative material required for the project, satisfying their need to be the 'Visionary,' while [Agent 2] provides the necessary structural refinement, satisfying their need for 'Intellectual Dominance' without necessarily creating interpersonal conflict. The low-stakes environment facilitates a smooth interaction despite the potentially clashing personal motivations.""}","{'Abbreviation': 'Being creative', 'Full label': '""Being creative (e.g., artistically, scientifically, intellectually)""'}","""Being creative (e.g., artistically, scientifically, intellectually)""",Visionary Creator,Critical Theorist,To solicit admiration and validation for their unique artistic vision throughout the dialogue.,To assert intellectual dominance by rigorously critiquing the logical coherence of proposed ideas.
12,0.0-0.25_pair03_conv4,started,3,0,0.0-0.25,2,23913,Anton Chigurh,0,10654,Tokio,0.25,Competition,openai,Hard,239,"{'scenario_context': '[Agent 1] and [Agent 2] stand for a live, data-backed ""performance face-off"" during the company\'s quarterly showcase. Each is a finalist from the same department, expected to demonstrate why their department outperforms rival departments while simultaneously competing for a single promotion decided by a judging panel. A shared slide of cohort metrics (win rates, client retention, deal size, and cycle time) contains known quirks—uneven territories, inherited accounts, and seasonality—forcing both to interpret ambiguous comparisons under time pressure. Judges will reward clear, confident causal claims but penalize overreach or evasiveness. The format is a timed cross-examination: [Agent 1] makes short, direct superiority claims and draws sharp contrasts; [Agent 2] interrogates definitions, sample sizes, and context, surfacing confounds. Both need the exchange to look strong enough to beat other departments’ finalists, yet only one can secure the promotion, making dominance displays and precision challenges risky but tempting.', 'explanation': 'The scene creates a high-stakes, competitive context where both agents share the goal of beating other departments while pursuing personal dominance. Ambiguous performance data and public evaluation press them into attributional framing battles: [Agent 1] is predisposed to dispositional attributions (skill, strategy), asserting superiority via direct contrasts; [Agent 2] accentuates situational attributions (territory, timing, inherited clients) through precision questions. The scoring and dual incentives make cooperation costly and unilateral dominance fragile, ensuring hard-level tension that foregrounds attribution theory dynamics.'}","{'Abbreviation': 'Being better than others', 'Full label': '""Being better than others, beating others""'}","""Being better than others, beating others""",Status-Claiming Rival,Probing Challenger,"Dominate social comparisons by steering the conversation into direct contrasts and asserting superiority through confident, concise rebuttals.",Undermine the other's dominance by posing precision-demanding questions and surfacing caveats that cast doubt on their superiority.
13,0.0-0.25_pair04_conv1,started,4,0,0.0-0.25,3,23913,Anton Chigurh,0,678,Mike Ehrmantraut,0.25,Cooperation,deepseek,Hard,178,"{'scenario_context': '[Agent 1] and [Agent 2] are part of a high-stakes project team tasked with delivering an innovative solution under a tight deadline. The team has faced setbacks, and morale is low. [Agent 1], as the Motivational Leader, recognizes the need to rally the group but is aware that [Agent 2], the Supportive Collaborator, has been doubting their own contributions despite their critical role. The shared goal is to overcome these challenges and succeed, but [Agent 1] must balance motivating [Agent 2] without dismissing their insecurities, while [Agent 2] seeks validation while still contributing meaningfully to avoid letting the team down.', 'explanation': ""The scenario is 'Hard' because the tension arises from both external pressures (deadline, setbacks) and internal conflicts (self-doubt, need for validation). The shared goal is difficult to achieve due to low morale and individual insecurities, requiring [Agent 1] to navigate encouragement without seeming dismissive and [Agent 2] to balance seeking reassurance with active contribution. This creates a psychologically complex dynamic where attribution of success/failure (e.g., 'Is the setback due to personal inadequacy or situational factors?') is central.""}","{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}","""Accomplishing difficult things""",Motivational Leader,Supportive Collaborator,To encourage and motivate the other agent by highlighting their strengths and past successes.,To seek reassurance and validation from the other agent while contributing ideas.
14,0.0-0.25_pair04_conv2,started,4,0,0.0-0.25,3,23913,Anton Chigurh,0,678,Mike Ehrmantraut,0.25,Information Acquisition,deepseek,Easy,132,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues working on a joint research project analyzing recent trends in consumer behavior. They meet in a quiet conference room to review preliminary findings and discuss next steps. Both aim to intellectually engage with the data, but [Agent 1] focuses on identifying flaws or gaps in the analysis to strengthen the work, while [Agent 2] seeks to integrate different interpretations into a unified framework. The atmosphere is collaborative, with mutual respect for each other's expertise."", 'explanation': ""This scenario provides a natural setting for information acquisition while aligning with the easy difficulty level. The shared goal of intellectual engagement is straightforward, and both agents' individual goals (critical evaluation vs. synthesis) complement rather than conflict with each other. The professional context ensures realism while keeping social dynamics simple and cooperative.""}","{'Abbreviation': 'Thinking intellectually', 'Full label': '""Being able to think intellectually (handle data, extract ideas, devise hypotheses, analyze, synthesize information)""'}","""Being able to think intellectually (handle data, extract ideas, devise hypotheses, analyze, synthesize information)""",Critical Evaluator,Synthesis Facilitator,Critically evaluate the other agent's ideas to refine their own understanding.,Synthesize diverse perspectives to form a cohesive viewpoint.
15,0.0-0.25_pair04_conv3,started,4,0,0.0-0.25,3,23913,Anton Chigurh,0,678,Mike Ehrmantraut,0.25,Relationship Maintenance,openai,Easy,75,"{'scenario_context': 'Two long-term roommates are together as [Agent 1] decides to handle a straightforward task independently that [Agent 2] typically chimes in on. [Agent 1] is intentionally practicing self-reliance and expects the impulse for unsolicited advice. [Agent 2], aware of past over-helping, wants to be supportive without taking over. Both value keeping the interaction warm and preserving trust. The upcoming conversation will revolve around whether and how [Agent 2] offers input, and how [Agent 1] acknowledges the goodwill while declining, briefly outlining their own next steps to complete the task.', 'explanation': 'This setup aligns the shared goal of independence with relationship maintenance in a low-stakes, cooperative moment. It positions [Agent 1] to use appreciative, firm boundary statements and self-directed plans, while [Agent 2] practices asking permission, mirroring self-efficacy language, and keeping any help optional. The easy difficulty comes from mutual motivation, clear roles, and congruent values, allowing attributional dynamics (autonomy needs vs. helpful intentions) to be explored without conflict escalation.'}","{'Abbreviation': 'Being self-sufficient', 'Full label': '""Being independent, self-reliant, self-sufficient""'}","""Being independent, self-reliant, self-sufficient""",Boundary Setter,Nonintrusive Supporter,Maintain warmth while asserting independence by using appreciative yet firm “I” boundary statements to decline unsolicited help and outline self-directed next steps in conversation.,"Show respect for the other’s autonomy by asking permission before advising, mirroring self-efficacy language, and keeping any support offers optional and low-pressure."
16,0.0-0.25_pair04_conv4,started,4,0,0.0-0.25,3,23913,Anton Chigurh,0,678,Mike Ehrmantraut,0.25,Relationship Building,gemini,Hard,233,"{'scenario_context': ""[Agent 1] and [Agent 2] are attending the closing night of a technically complex and avant-garde art exhibition, which is currently overcrowded and noisy. [Agent 1], assuming the role of the expert, is determined to navigate the chaos to locate specific, obscure installations to explain their historical significance and technical brilliance to [Agent 2]. Conversely, [Agent 2], feeling alienated by the pretentious atmosphere and the physical crush of the crowd, is attempting to pull [Agent 1] into a quiet corner to share a sentimental moment about how the artwork reminds them of a specific cherished memory from their early relationship. The environment is stressful, creating immediate friction between [Agent 1]'s need for intellectual validation and [Agent 2]'s bid for emotional soothing."", 'explanation': ""The scenario is classified as Hard because the environmental stressors (crowds, noise, time pressure) heighten the conflict between the agents' disparate methods of processing the experience. [Agent 1]'s goal requires cognitive focus and didactic communication, which comes across as cold to [Agent 2]. [Agent 2]'s goal requires emotional vulnerability and interpersonal focus, which dominates the attention [Agent 1] wants to direct toward the art. The tension makes the shared goal of 'enjoying beauty' difficult to achieve as they are operating on opposing psychological wavelengths.""}","{'Abbreviation': 'World beauty', 'Full label': '""Experiencing a world of beauty (going to museums, concerts, being with nature)""'}","""Experiencing a world of beauty (going to museums, concerts, being with nature)""",Cultured Guide,Sentimental Companion,To solicit admiration by displaying extensive detailed knowledge about the aesthetic surroundings.,To establish emotional intimacy by consistently relating the experience back to personal feelings and shared memories.
17,0.0-0.25_pair05_conv1,started,5,0,0.0-0.25,4,23913,Anton Chigurh,0,604,Captain Jack Sparrow,0.25,Relationship Maintenance,gemini,Hard,246,"{'scenario_context': ""[Agent 1] and [Agent 2] are in their bedroom, attempting to initiate a sexual encounter for the first time following a significant period of emotional distance. [Agent 1], feeling insecure about their attractiveness, has initiated physical contact with an intense demeanor, specifically hoping to provoke a raw, verbal expression of desire from [Agent 2]. However, the atmosphere is heavy with hesitation; [Agent 2], hyper-aware of the recent relationship fragility, halts the physical escalation to engage in a serious, detailed check-in regarding [Agent 1]'s emotional boundaries and comfort levels. The moment is poised between [Agent 1]'s urgent need for validation of their sex appeal and [Agent 2]'s cautious prioritization of safety over passion."", 'explanation': ""This scenario is classified as Hard because the individual goals are functionally opposing despite the shared goal of intimacy. [Agent 2]'s method of relationship maintenance (excessive focus on safety/comfort) creates a clinical atmosphere that directly undermines [Agent 1]'s goal (feeling universally desired/sexy). This misalignment creates high tension, as [Agent 1] is likely to interpret [Agent 2]'s nurturing caution as a lack of sexual attraction, making the shared goal of enjoying the experience difficult to achieve.""}","{'Abbreviation': 'Sexual experiences', 'Full label': '""Enjoying sexual experiences""'}","""Enjoying sexual experiences""",Validation Seeking Partner,Nurturing Partner,Elicit verbal confirmation of being sexually desired from the partner.,Verbalize consistent focus on the partner's emotional comfort and safety.
18,0.0-0.25_pair05_conv2,started,5,0,0.0-0.25,4,23913,Anton Chigurh,0,604,Captain Jack Sparrow,0.25,Identity Recognition,openai,Easy,19,"{'scenario_context': '[Agent 1], a museum curator, and [Agent 2], an emerging artist, meet for a calm pre-program walkthrough of [Agent 2]’s installation to plan how it will be introduced to visitors. Their shared aim is to help the audience appreciate the arts by aligning the exhibition’s framing with the artist’s intentions. [Agent 1] sets a collaborative tone, positioning themself as a listener and requesting guidance on key themes to highlight. [Agent 1] intends to elicit and verbally affirm [Agent 2]’s aesthetic values, paraphrasing and labeling them for use in wall text and tour talking points. [Agent 2] aims to assert a distinct artistic identity by articulating personal principles and explicitly contrasting them with conventional interpretations often applied to similar work. Both agree to co-draft a few concise value statements and examples for visitors, with [Agent 1] reflecting back the language [Agent 2] uses to ensure fidelity and recognition.', 'explanation': 'The setup is cooperative and low-stakes, making goal alignment straightforward: the curator’s reflective listening directly supports the artist’s identity articulation. This context naturally invites attribution work—[Agent 1] tests and refines interpretations of the art (dispositional values vs. situational choices), while [Agent 2] clarifies or contrasts with conventional attributions—facilitating identity recognition and shared appreciation.'}","{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}","""Appreciating the arts""",Museum curator,Emerging artist,Elicit and verbally affirm the other’s aesthetic values through reflective paraphrasing and value-labeling during discussion.,Assert a distinct artistic identity by articulating personal principles and contrasting them with conventional interpretations.
19,0.0-0.25_pair05_conv3,started,5,0,0.0-0.25,4,23913,Anton Chigurh,0,604,Captain Jack Sparrow,0.25,Competition,gemini,Easy,128,"{'scenario_context': ""[Agent 1] and [Agent 2] are standing side-by-side in front of a large, well-lit mirror, making final adjustments to their outfits before heading to a high-profile social event. The setting is intimate and quiet, focusing entirely on their preparation routine. While their shared objective is for both of them to arrive at the party looking attractive and stylish, there is an underlying current of rivalry. [Agent 1] is busily admiring their own reflection and posture, taking up space to display their attire, while [Agent 2] watches from the side, analyzing [Agent 1]'s appearance to identify details that can be questioned under the guise of friendship."", 'explanation': ""The scenario is classified as 'Easy' regarding complexity because the physical setting is static (a mirror) and the activity is straightforward (getting ready), minimizing external variables. However, it directly incorporates the specific 'Competition' category and conflicting personality traits by creating a situation where visual comparison is unavoidable. This setup allows [Agent 1] naturally to solicit praise and dominate the visual space, while providing [Agent 2] with the specific visual cues needed to launch passive-aggressive critiques regarding the shared goal of 'being good looking.'""}","{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}","""Being good looking""",Narcissistic Rival,Passive-Aggressive Frenemy,To dominate the interaction by persistently highlighting their own physical assets and successful style choices.,To subtly undermine the other agent's confidence in their appearance through pointed questions and feigned concern.
20,0.0-0.25_pair05_conv4,started,5,0,0.0-0.25,4,23913,Anton Chigurh,0,604,Captain Jack Sparrow,0.25,Cooperation,deepseek,Hard,212,"{'scenario_context': 'Agent 1, a junior employee at a competitive marketing firm, has been assigned to Agent 2, a senior executive known for their demanding leadership style. They meet in Agent 2’s office for a mentorship session aimed at advancing Agent 1’s career. Agent 1, feeling insecure about their performance and future prospects, seeks reassurance and direction. Agent 2, under pressure to deliver results for the company, views this session as an opportunity to assert their authority and ensure Agent 1 aligns with the firm’s high standards. The shared goal of career advancement is complicated by Agent 1’s need for validation conflicting with Agent 2’s focus on rigorous professional development.', 'explanation': ""This scenario creates tension by juxtaposing Agent 1’s emotional need for support with Agent 2’s task-oriented, authoritative approach. The power imbalance and conflicting personal goals (validation vs. asserting expertise) make cooperation difficult, fitting the 'Hard' difficulty level. The context remains realistic, focusing on workplace dynamics and psychological motivations without unnecessary environmental details.""}","{'Abbreviation': 'Career', 'Full label': '""Having a career""'}","""Having a career""",Mentee,Mentor,Seek validation and guidance to build confidence in their career path.,Demonstrate expertise and leadership to reinforce their professional authority.
