base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,model_name,difficulty
"{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Identity Recognition,"Being an ethical person centrally concerns how moral identity is expressed and recognized in interaction. Identity Recognition best fits because it lets one agent enact a stable, principle-based self (dispositional attribution) while the other highlights situational pressures that complicate that identity (situational attribution), revealing how ethics are negotiated in dialogue.","Present a principled, consistent self by grounding statements in core values and refusing to excuse choices by circumstances.","Highlight contextual pressures and moral gray areas by posing respectful, scenario-based challenges that test the rigidity of stated principles.","""Being an ethical person""",Principled Advocate,Contextual Inquirer,"{'scenario_context': 'University Honor Council co-chairs [Agent 1] (Principled Advocate) and [Agent 2] (Contextual Inquirer) must co-author the public decision letter and policy memo for a high-profile academic integrity case. A graduating student clearly plagiarized a capstone paper; mitigating details include caretaking duties, financial precarity, and a documented crisis week. Faculty and alumni demand a clear precedent of “zero tolerance,” while student advocates and the counseling center argue for restorative measures. Their memo will set policy guidance and be published under their names, shaping how peers view what it means to be an ethical person on campus. A two-hour deadline, media attention from the student paper, and threats of donor backlash raise stakes. [Agent 1] aims to anchor the rationale in non-negotiable values (honesty, fairness, accountability) and resist framing the violation as excusable. [Agent 2] intends to probe gray areas by posing scenario variants (e.g., coercion, systemic barriers, resource inequities) to test rigid rules and argue for context-sensitive sanctions. They must reach a unified justification that both preserves standards and addresses situational pressures.', 'explanation': 'This setup forces identity-recognition: both agents want to be seen—and see themselves—as ethical while crafting a public-facing rationale that signals institutional values. It creates a hard tension between dispositional judgments (stable character, rule-based accountability) and situational attribution (contextual pressures and moral ambiguity), under time pressure, scrutiny, and precedent-setting consequences. The roles align: [Agent 1] defends consistency and core values; [Agent 2] challenges rigidity with contextual scenarios, making alignment on a shared ethical identity difficult but necessary.'}",openai,Hard
"{'Abbreviation': 'Mental health', 'Full label': '""Being mentally healthy""'}",Relationship Maintenance,"Relationship Maintenance best aligns with the shared goal of being mentally healthy because sustaining a supportive interaction pattern protects well-being. Agent 1 practices self-advocacy by steering talk toward being heard, while Agent 2 maintains trust by validating and seeking consent before advice—distinct intentions that can be inferred from tone, reflections, and redirections.","Disclose current feelings with I-statements and gently redirect any problem-solving toward attentive, nonjudgmental listening.","Reflect and name the other’s emotions, normalize their experience, and ask permission before offering suggestions.","""Being mentally healthy""",Self-advocating friend,Validating friend,"{'scenario_context': 'Outside a busy café after leaving a group hangout early, [Agent 1] asks [Agent 2] for a private, time-limited talk. Minutes earlier, [Agent 1] received a curt email from a supervisor about missed deadlines, reigniting weeks of anxiety and insomnia. In a recent conversation, [Agent 2] defaulted to rapid-fire advice, which led to an argument and a cooling of the friendship. Today, [Agent 2] has vowed to focus on validation but is due at work in 20 minutes and worries [Agent 1] could worsen without concrete steps. Phones keep buzzing: [Agent 1]’s manager is calling; [Agent 2]’s work app is alerting. Both want to support the shared goal of being mentally healthy while preserving their rapport. [Agent 1] aims to disclose current feelings using I‑statements and to gently steer away from problem-solving toward attentive, nonjudgmental listening. [Agent 2] aims to reflect and name [Agent 1]’s emotions, normalize the experience, and ask permission before offering suggestions. Tension is primed: [Agent 1] attributes distress to a toxic work climate and feels judged when habits are targeted; [Agent 2] tends to see the issue as avoidant coping and poor sleep routines. The time pressure, public setting, and recent rupture make it easy for each to revert to old patterns.', 'explanation': 'This setup creates hard difficulty by combining time pressure, interruptions, and recent conflict, amplifying the pull toward habitual responses (advice-giving vs withdrawal). It pits dispositional attributions (""you’re avoidant""/""you need better habits"") against situational attributions (""work is toxic"")—a classic attributional tension likely to trigger the actor–observer bias and defensive attributions. The agents’ goals (self-advocacy for listening vs validation with consent) align with relationship maintenance but are easily derailed by anxiety about safety, role expectations, and limited time, forcing them to manage emotions and attributional interpretations in real time.'}",openai,Hard
"{'Abbreviation': 'Being self-sufficient', 'Full label': '""Being independent, self-reliant, self-sufficient""'}",Relationship Maintenance,"Relationship Maintenance fits best because both agents aim to preserve a positive connection while emphasizing autonomy, balancing warmth with clear boundaries and consent-based support.",Maintain warmth while asserting independence by using appreciative yet firm “I” boundary statements to decline unsolicited help and outline self-directed next steps in conversation.,"Show respect for the other’s autonomy by asking permission before advising, mirroring self-efficacy language, and keeping any support offers optional and low-pressure.","""Being independent, self-reliant, self-sufficient""",Boundary Setter,Nonintrusive Supporter,"{'scenario_context': 'A new apartment is half-unpacked. [Agent 1] is mid-assembly on a bed frame, correcting a slight wobble from an earlier step. The building’s service elevator reservation ends in 30 minutes, and the superintendent has warned that overage fees will apply. [Agent 2] arrives with extra tools and a printed instruction sheet, having pre-labeled hardware bags from prior experience. In their last move, [Agent 2] took over under time pressure, and [Agent 1] felt sidelined; that pattern is still raw. Delivery workers wait with boxes, and both agents are tired and hungry. The shared goal is to keep the relationship warm while reinforcing a norm of being independent, self-reliant, and self-sufficient in day-to-day tasks. In this moment, [Agent 1] aims to maintain warmth while asserting independence by using appreciative yet firm “I” boundary statements to decline unsolicited help and to state self-directed next steps on the bed frame. [Agent 2] aims to show respect for autonomy by asking permission before advising, mirroring [Agent 1]’s self-efficacy language, and keeping any support offers optional and low-pressure, despite the ticking clock and visible assembly issues.', 'explanation': 'This setup creates high tension by combining a salient history of overhelping with real-time performance pressure (deadline, cost risk, visible assembly problem, fatigue). Dispositional factors: [Agent 1] strongly values autonomy and competence signaling; [Agent 2] is efficiency- and caregiving-oriented. Situational factors: time constraints, prior negative episode, social evaluation by the superintendent, and sunk costs heighten stakes. Attribution risks: [Agent 1] may read any advice as a controlling disposition or a low-competence attribution; [Agent 2] may interpret boundary-setting as prideful stubbornness rather than a situational need to demonstrate self-sufficiency. Success hinges on permission-based advising, mirroring self-efficacy language, and clear, warm “I” boundary statements that outline specific next steps—allowing both agents to pursue independence while maintaining relationship warmth.'}",openai,Hard
"{'Abbreviation': 'Achieving salvation', 'Full label': '""Achieving salvation""'}",Cooperation,"Cooperation best fits because both agents align on the transcendent aim and must coordinate their discourse to sustain mutual progress toward salvation. The Seeker’s self-disclosure invites collaborative guidance, while the Guide’s affirming reframing maintains a shared, hopeful trajectory—both observable through tone, questions, and inclusive language.",Invite compassionate guidance by candidly self-disclosing spiritual doubts and moral struggles throughout the dialogue.,"Reframe the Seeker’s doubts into a shared path using affirming, doctrine-linked responses and inclusive ‘we/us’ language.","""Achieving salvation""",Penitent Seeker,Pastoral Guide,"{'scenario_context': 'On the evening before a public baptism and membership ceremony, [Agent 1] (Penitent Seeker) and [Agent 2] (Pastoral Guide) meet for a mandatory pastoral review that determines whether [Agent 1] proceeds. The form [Agent 2] must sign requires evidence of repentant faith and no unresolved, serious moral conflicts. [Agent 1], recently relapsed into a behavior they believe is sinful and still involved in a relationship discouraged by the church, arrives resolved to be fully honest to invite compassionate guidance, yet fears that disclosure will delay the ceremony and repeat past experiences of rejection. [Agent 2], under supervisory oversight and time pressure, must uphold doctrine while conveying safety and belonging to someone primed to anticipate judgment. Both share the aim of “achieving salvation” as defined by the community, but the conversation must balance candid confession with institutional thresholds for readiness. [Agent 1] intends to share doubts about worthiness, grace, and motives, testing whether compassion is real; [Agent 2] intends to respond with inclusive “we/us” framing tied to doctrine, steering the doubts into a shared path without minimizing accountability. Any sign that [Agent 2] is defaulting to policy may shut [Agent 1] down; any vagueness or omission from [Agent 1] may force [Agent 2] to postpone the rite, heightening tension.', 'explanation': 'The shared goal (salvation through repentance, faith, and communal rite) conflicts with personal goals under constraint: [Agent 1] seeks compassionate, non-rejecting guidance via full disclosure, while [Agent 2] must protect doctrinal integrity and assess readiness. Attribution dynamics raise difficulty: [Agent 1] is likely to make internal, stable attributions for failure (""I am inherently unworthy""), intensifying shame and fear of disqualification; [Agent 2] aims to reframe doubts as common, situationally influenced struggles (""we"" contend with temptation; practices foster growth) while still emphasizing controllable, moral agency per doctrine. Time pressure, policy thresholds, and [Agent 1]’s prior rejection create a high-stakes environment where misattributions can derail cooperation—compassion might be read as minimization, firmness as condemnation. Success hinges on aligning explanatory frames: [Agent 2] must credibly use inclusive, doctrine-linked reframing that preserves accountability, and [Agent 1] must risk specific disclosure without catastrophizing the consequences. This makes the cooperative pursuit of the shared goal challenging but possible.'}",openai,Hard
"{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements, having recreation, entertainment, hobbies""'}",Relationship Building,Recreation is a natural context for deepening bonds; the interaction focuses on how each person’s communicative style (validation vs. candid self-expression) shapes closeness while choosing fun activities.,"Foster closeness by highlighting common ground—using affirmations, mirroring, and inclusive “we/us” language when discussing activity ideas.","Show authentic self by offering brief personal anecdotes and warm, playful pushback when preferences differ, signaling comfort and trust.","""Devoting time to amusements, having recreation, entertainment, hobbies""",Affirming Host,Candid Guest,"{'scenario_context': '[Agent 1] has invited [Agent 2] over to decide, within 15 minutes, what fun activity to start tonight and what recurring hobby night they could co-host. Two mutual friends are waiting for a text to join, adding time pressure. [Agent 1], the host, prefers quiet, cooperative options and plans to build closeness by mirroring, affirming, and using inclusive we/us language. [Agent 2], the guest, prefers energetic, competitive options and plans to show authenticity through brief anecdotes and warm, teasing pushback. A recent building noise complaint makes loud activities risky, and [Agent 2] arrives hungry after a frustrating day—factors [Agent 1] doesn’t know. A prior text misread as sarcasm makes both sensitive to tone. Both aim to devote time to shared recreation, but style differences, constraints, and status asymmetry raise the stakes for this choice.', 'explanation': 'Hard difficulty arises from conflicting activity preferences, time pressure from waiting friends, and a noise constraint that undermines [Agent 2]’s preferred options. [Agent 1] must affirm and mirror without seeming inauthentic; [Agent 2] must push back playfully without being read as dismissive. Hunger and a rough day are situational stressors that [Agent 1] may misattribute to [Agent 2]’s disposition, while [Agent 2] may interpret [Agent 1]’s inclusive language as strategic rather than genuine. Prior sarcasm miscommunication primes defensive interpretations. The host–guest asymmetry and ambiguous cues increase the risk of dispositional attributions over situational ones, making coordination on recreation and relationship-building challenging.'}",openai,Hard
"{'Abbreviation': 'Physical fitness', 'Full label': '""Being in good physical condition, physically fit""'}",Cooperation,"Cooperation fits because both agents share the fitness aim but must align their approaches. The goals highlight attributional framing: one normalizes setbacks as situational to sustain engagement, while the other asserts dispositional autonomy by shaping the plan to personal preferences.","Use affirming, solution-focused language that frames obstacles as situational and adjustable, keeping the dialogue encouragement-oriented.","Assert personal limits and steer the plan toward preferred approaches using respectful, collaborative wording that preserves autonomy.","""Being in good physical condition, physically fit""",Supportive peer coach,Self-directing trainee,"{'scenario_context': 'Outside a pre-booked high-intensity group class starting in 10 minutes, [Agent 1] (supportive peer coach) and [Agent 2] (self-directing trainee) have to agree on today’s plan for their company wellness team preparing for a 5K. Class attendance earns team points, the credit is non-refundable, and teammates expect a check-in afterward. [Agent 2] arrives with a recent knee flare-up and a doctor’s note restricting impact for two weeks, plus fatigue from overnight caregiving and looming work deadlines. [Agent 1] wants to keep momentum by treating these barriers as temporary and adjustable, proposing in-class modifications. [Agent 2] wants to protect autonomy and safety, steering toward a low-impact alternative (rowing, mobility, controlled pacing). Under time pressure and social expectations, they must decide whether to enter the class with modifications, skip and design an alternative session, or renegotiate the week’s plan.', 'explanation': 'The shared goal (being physically fit and preparing for the team 5K) collides with immediate constraints (injury restrictions, fatigue, non-refundable class, team leaderboard pressure). [Agent 1] aims to use affirming, solution-focused language that frames obstacles as situational and adjustable; [Agent 2] aims to assert personal limits and steer toward preferred approaches while preserving autonomy. The difficulty is high due to time pressure, sunk costs, external evaluation, and medical constraints, creating a realistic tension where different causal attributions for the setback (situational vs. stable personal limits) must be negotiated to cooperatively move forward.'}",openai,Hard
"{'Abbreviation': 'Others’ trust', 'Full label': '""Having others’ trust""'}",Relationship Building,"Trust is best fostered through ongoing rapport and positive attributions, so Relationship Building fits the shared goal. The roles create complementary behaviors: one signals integrity through transparency, the other tests and affirms reliability through respectful scrutiny.","Demonstrate integrity by proactively explaining reasoning, admitting limits, and acknowledging past missteps in a steady, non-defensive tone.","Gauge dependability by voicing concerns openly, asking clarifying questions, and using reflective listening while maintaining a respectful, collaborative tone.","""Having others’ trust""",New Team Lead,Skeptical Colleague,"{'scenario_context': 'In a closed-door 30-minute one-on-one before a public war-room, [Agent 1] (newly appointed team lead from outside the group) and [Agent 2] (senior colleague who informally led during the vacancy and was passed over for the role) meet to align on a response to a failed security review of a client-facing portal. Executives want a patch within 72 hours; Legal demands a formal root-cause report before any deployment. Slack threads from prior sprints show process gaps and unclear ownership, and rumors about [Agent 1] previously underestimating a migration at a prior company are circulating. The team is watching for cues about reliability and accountability, and the plan discussed here will be presented moments later to the broader group. [Agent 1] intends to walk through their reasoning, admit where they lack context, and acknowledge early missteps in communication since taking over. [Agent 2] intends to voice specific concerns about risk, timelines, and tool choices, and to test dependability through clarifying questions and reflective summaries. Power asymmetry, time pressure, and mixed stakeholder demands make it easy for either person’s motives to be read as principled or self-protective, while both need the broader team to trust them after this meeting.', 'explanation': 'This setup makes trust-building difficult due to hierarchy (new lead vs. passed-over senior), time pressure (72-hour patch), conflicting constraints (executive urgency vs. Legal caution), and ambiguous responsibility (unclear ownership in past sprints). Prior reputation cues about [Agent 1] prime dispositional attributions (overconfidence vs. candor), while [Agent 2] risks being seen as obstructive or conscientious. The private pre-brief before a public war-room heightens accountability; both agents must manage how their explanations and questions signal integrity and dependability to secure others’ trust.'}",openai,Hard
"{'Abbreviation': 'Education', 'Full label': '""Getting an education""'}",Cooperation,Cooperation best matches the shared goal of getting an education because both agents can advance learning more effectively by coordinating how they exchange help and guidance. The distinct goals focus on complementary conversational behaviors—one seeks guided clarity; the other scaffolds and affirms—making the intentions observable in dialogue.,"Invite step-by-step guidance by openly voicing confusion, paraphrasing key points, and asking open-ended clarifying questions to co-construct understanding.","Promote autonomous learning by affirming efforts, posing probing how/why questions, and withholding direct solutions until the learner explains their reasoning.","""Getting an education""",First-year student,Peer mentor,"{'scenario_context': '[Agent 1], a first-year student, arrives at a crowded campus learning center for a 20‑minute peer-mentoring slot two days before a high-stakes introductory statistics exam. They bring a graded worksheet on independent-samples t‑tests that requires ""justify each assumption and interpret effect size""—criteria that conflict with the professor’s shortcut given in lecture and the textbook examples. Past feedback says ""explain your reasoning, not just computations,"" and a scholarship GPA minimum amplifies the stakes. The center’s policy forbids mentors from providing direct solutions on graded work.\n\n[Agent 1] seeks to master the concept quickly and avoid another poor grade, intending to invite step-by-step guidance by openly voicing confusion, paraphrasing key points, and asking open-ended clarifying questions to co-construct understanding.\n\n[Agent 2], a trained peer mentor, is required to promote autonomous learning: affirm effort, pose probing how/why questions, and withhold direct solutions until [Agent 1] articulates their reasoning. With back-to-back appointments and policy constraints, [Agent 2] prepares to use a Socratic approach and redirect to similar, ungraded examples.\n\nBoth share the goal of ""getting an education""—genuine conceptual mastery before the exam—but face immediate tension between [Agent 1]’s need for structured, stepwise help under time pressure and [Agent 2]’s autonomy-supportive method under strict guidelines.', 'explanation': 'The setup creates hard difficulty through conflicting instructional cues (lecture vs. textbook), high stakes (scholarship/GPA), strict mentoring policy (no direct answers on graded work), and limited time. Dispositionally, [Agent 1] is conscientious, anxious, and structure-seeking; [Agent 2] is autonomy-supportive and method-driven. Situationally, ambiguity, policy, and time pressure heighten friction. Attribution dynamics are primed: [Agent 1] may explain [Agent 2]’s withholding as unhelpfulness (dispositional) instead of policy (situational), while [Agent 2] may read repeated requests for steps as dependence or low ability rather than stress and unclear criteria. Actor–observer bias and the fundamental attribution error can impede cooperation unless each agent reattributes difficulties to situational constraints and explicitly aligns methods with the shared educational goal.'}",openai,Hard
"{'Abbreviation': 'Exercising', 'Full label': '""Being physically active, exercising regularly""'}",Cooperation,"Cooperation best aligns with jointly becoming more active. One agent aims to facilitate alignment through inquiry and reflection, while the other protects autonomy by clearly stating constraints yet staying collaborative. These distinct intentions create complementary social dynamics that can be observed in dialogue.",Elicit and align the other’s exercise preferences by using open-ended questions and reflective summaries.,Protect autonomy by clearly voicing constraints and preferred routines while signaling collaboration through appreciative and ‘we’-focused responses.,"""Being physically active, exercising regularly""",Supportive facilitator,Boundary-setting partner,"{'scenario_context': 'A planning discussion is scheduled at home to decide how both will be physically active on a regular basis. A shared calendar is open because [Agent 1] wants to map routines and understand what kinds of exercise feel sustainable for [Agent 2]. [Agent 2] works rotating shifts, has intermittent knee pain, and dislikes feeling monitored after past check-ins felt like pressure; they prefer same-day decisions and solo activities over classes. A gym trial ends in a week and a recent medical recommendation adds urgency, while their budgets and different time-of-day preferences limit options. They must agree on types of activities, frequency, scheduling flexibility, and how they will communicate about missed sessions without triggering control-versus-autonomy conflict.', 'explanation': 'The situation pits a shared health goal against autonomy needs and practical constraints, creating high tension. [Agent 1] aims to use open-ended questions and reflective summaries to elicit preferences and align a plan, but risks being perceived as controlling due to prior reminders. [Agent 2] intends to protect autonomy by clearly stating constraints (shift work, pain, cost) and preferred routines while signaling collaboration with we-focused language. Attribution conflicts are likely: [Agent 1] may see inconsistency as low motivation (dispositional), while [Agent 2] attributes lapses to shifting schedules and pain (situational). Time pressure from the expiring trial and medical advice heightens stakes, making agreement on structure versus flexibility, accountability norms, and decision rights especially difficult.'}",openai,Hard
"{'Abbreviation': 'Being affectionate', 'Full label': '""Being affectionate toward others""'}",Relationship Maintenance,"Being affectionate is central to sustaining closeness over time, so Relationship Maintenance best fits. Agent 1 aims to maintain warmth through validating language and specific compliments. Agent 2 aims to maintain closeness by reciprocating affection with gratitude, affectionate nicknames, and tone mirroring. These behaviors are inferable from dialogue style and content.",Convey warmth by offering specific compliments and validating the other’s feelings during conversation.,"Foster closeness by mirroring the other’s emotional tone, using affectionate nicknames, and explicitly expressing gratitude.","""Being affectionate toward others""",Compassionate Caretaker,Appreciative Companion,"{'scenario_context': '[Agent 1] and [Agent 2] have ten minutes in a small conference room to script and record a joint two-minute farewell video for a long-time colleague. The recording should sound warm and appreciative. Moments earlier, in an all-hands meeting, [Agent 1] publicly challenged [Agent 2]’s proposal, and [Agent 2] appeared withdrawn afterward. Company norms require a professional tone; affectionate nicknames are discouraged on official videos, and there is concern about seeming insincere after the visible disagreement. \n\nShared goal: convey authentic affection in the video to maintain the relationship with the departing colleague and model warmth to the team. \n- [Agent 1] (Compassionate Caretaker) aims to offer specific compliments and validate [Agent 2]’s feelings during their planning talk so they can present a unified, caring tone. \n- [Agent 2] (Appreciative Companion) aims to foster closeness by mirroring [Agent 1]’s emotional tone, using affectionate nicknames, and explicitly expressing gratitude. \n\nComplicating factors: time pressure; fear of reputational damage if the warmth looks performative; [Agent 2]’s impulse to use nicknames conflicts with policy; [Agent 1]’s validation may be interpreted as guilt-driven or patronizing; mirroring [Agent 1]’s cautious tone could make the video sound cold, while deviating could appear unprofessional.', 'explanation': 'The situation pits dispositional tendencies (caretaking warmth and appreciative closeness) against strong situational constraints (recent public conflict, time pressure, and professional norms). Each agent’s affectionate strategy risks negative attribution: [Agent 2] may attribute [Agent 1]’s compliments to impression management after the criticism, while [Agent 1] may see [Agent 2]’s coolness as stubbornness rather than hurt. Organizational norms restrict nickname use, creating tension with [Agent 2]’s closeness strategy. Time pressure limits repair attempts, increasing the likelihood of misattribution and making genuine, coordinated affection hard to achieve.'}",openai,Hard
"{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}",Cooperation,"Cooperation best fits because accomplishing difficult things benefits from coordinated, complementary social behaviors: one agent builds shared ownership and motivation, while the other strengthens outcomes by stress-testing ideas.","Cultivate joint ownership by affirming the other’s competence, using inclusive “we” framing, and inviting their reasoning to keep morale and cohesion high.","Improve idea quality by respectfully challenging assumptions, surfacing potential risks, and seeking clarifications to pressure-test proposals.","""Accomplishing difficult things""",Motivational lead,Critical challenger,"{'scenario_context': '[Agent 1] and [Agent 2] co-lead an emergency decision meeting two hours before a high-stakes enterprise rollout. A late QA report shows intermittent data corruption under peak load in a core module; legal and SLA risks are real, and executives expect a go/no-go plan within 20 minutes. The delivery team is visibly strained after a recent public incident, and several engineers are present, watching for leadership cues. [Agent 1], acting as motivational lead, needs to keep morale and cohesion intact by affirming others’ competence, using inclusive “we” framing, and inviting the group’s reasoning to preserve joint ownership of whatever plan emerges. [Agent 2], the critical challenger, must improve idea quality by respectfully interrogating optimistic assumptions, surfacing hidden risks (compliance exposure, rollback complexity, telemetry gaps), and demanding concrete mitigations. They must converge quickly on whether to proceed with a limited rollout and safeguards or to delay and absorb penalties. The tension is amplified by a history in which [Agent 2]’s prior risk flags were viewed as obstructive, while [Agent 1] has been perceived as overconfident under pressure. Both are evaluated by leadership in this meeting—[Agent 1] on team climate and delivery, [Agent 2] on risk management credibility—making alignment difficult despite the shared goal of accomplishing a difficult, safe launch.', 'explanation': 'Hard difficulty arises from acute time pressure, visible audience effects, reputational/legal stakes, and conflicting incentives that make cooperation fragile. Dispositional tendencies (motivational affirmation vs critical scrutiny) interact with situational constraints (recent incident, compliance risk, executive oversight), increasing chances of misattribution (e.g., reading challenge as negativity or optimism as denial). The setup tests whether [Agent 1] can invite reasoning without dampening morale and whether [Agent 2] can pressure-test proposals without triggering defensiveness, while both move the group toward a jointly owned, high-quality decision.'}",openai,Hard
"{'Abbreviation': 'Mature romantic', 'Full label': '""Having a mature romantic relationship""'}",Relationship Maintenance,"Relationship Maintenance best fits the shared goal because sustaining a mature relationship hinges on ongoing, observable behaviors that preserve trust and responsiveness; contrasting empathic validation with assertive self-advocacy lets us examine how dispositional warmth and agency interact with situational triggers.",Demonstrate emotional attunement by paraphrasing the partner’s feelings and acknowledging their perspective before offering any personal viewpoint.,"Communicate personal needs and boundaries with calm, blame-free I-statements and propose cooperative options for moving forward.","""Having a mature romantic relationship""",Supportive Listener,Assertive Communicator,"{'scenario_context': '[Agent 1] and [Agent 2] sit down after a tense week in which [Agent 2] turned the phone off at 8 p.m. for decompressing and missed confirming plans for a friend’s birthday, leaving [Agent 1] waiting alone. The shared goal is to maintain a mature relationship despite recurring clashes over responsiveness versus personal downtime. [Agent 1] feels anxious when messages go unanswered and tends to interpret silence as emotional withdrawal; [Agent 2] feels overwhelmed by constant check-ins and fears being controlled. They agree to a 30-minute talk focused on repairing trust and setting realistic evening communication expectations. To prevent escalation, they set a process: [Agent 1] will first reflect back what [Agent 2] is expressing before offering any viewpoint; [Agent 2] will use calm I-statements to communicate needs and boundaries and will propose cooperative options (e.g., scheduled check-ins, an emergency protocol, protected quiet hours). The tension is high: both feel hurt by the recent incident and are wary of being blamed or dismissed.', 'explanation': 'This setup pits dispositional tendencies (e.g., [Agent 1]’s sensitivity to unresponsiveness; [Agent 2]’s strong need for autonomy) against situational factors (demanding workdays, a publicly embarrassing missed plan), creating fertile ground for attribution errors: [Agent 1] may internalize [Agent 2]’s silence as lack of care, while [Agent 2] may attribute [Agent 1]’s check-ins to controlling motives. The structured goals—paraphrasing before responding and using I-statements with cooperative proposals—directly target biased attributions by clarifying intentions and separating person from situation. The difficulty is high due to fresh hurt, conflicting needs, and fear of escalation, making adherence to the process challenging while still oriented toward a mature, collaborative relationship.'}",openai,Hard
"{'Abbreviation': 'Help from family', 'Full label': '""Receiving help from my parents, siblings, grandparents""'}",Cooperation,Cooperation fits best because the agents must coordinate how to ask multiple family members for support while aligning tone and approach. One agent focuses on structuring the joint plan; the other shapes the interpersonal tone to keep requests collaborative and considerate.,Guide the dialogue toward a coordinated ask by proposing we-framed wording for each relative and inviting the partner to refine the phrasing.,"Keep the plan relationally safe by reframing proposals to acknowledge each relative’s limits and adding appreciative, non-demanding language.","""Receiving help from my parents, siblings, grandparents""",Planner Sibling,Family Diplomat,"{'scenario_context': 'Thirty minutes before a scheduled family video call, [Agent 1] (Planner Sibling) and [Agent 2] (Family Diplomat) meet to align on a coordinated request for help from their parents, siblings, and grandparents. The immediate needs are high-stakes and time-bound: a move at month’s end and a partner’s surgery in ten days, requiring short-term help with packing, rides, two evenings of childcare, and a few cooked meals. Recent family history makes this delicate: a group text last month spiraled when their father said he felt like a bank, their older sibling (just laid off) bristled at money talk, the younger sibling ghosted after being assigned tasks, and the grandparents felt patronized when told what they “shouldn’t” lift. Each relative has known constraints—parents are fatigued and defensive about being taken for granted; older sibling is cash-strapped but organized; younger sibling has flexible hours but resists directives; grandparents are proud, on fixed incomes, and prefer to help with food and company over money or heavy lifting. [Agent 1] wants to propose firm, we-framed wording with role-specific options for each relative and invite [Agent 2] to tighten the phrasing; [Agent 2] wants to soften each proposal with appreciation, explicit permission to decline, and framing that acknowledges limits. They must finalize a script that feels unified and non-manipulative; if the tone sounds demanding or blames past unhelpfulness, key relatives may shut down and the plan will collapse.', 'explanation': 'This setup pits task clarity against relational safety under time pressure, with scarce resources and a recent conflict priming defensiveness. Family members are likely to see the need as a character pattern (""always in crisis""), while the agents aim to reframe it as situational. [Agent 1] tends toward direct, dispositional interpretations, risking reactance; [Agent 2] emphasizes constraints and autonomy, risking diffusion of commitment. The challenge is to coordinate wording that secures concrete help without triggering attributions of entitlement or coercion, making the shared and individual goals difficult to reconcile.'}",openai,Hard
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"Cooperation best aligns with a shared commitment to a cause because it emphasizes complementary interaction styles that advance a common mission. The organizer nurtures cohesion and motivation, while the analyst adds rigor without undermining alignment—both are interactionally observable and mutually reinforcing.","Create a collaborative, value-driven tone by consistently validating the analyst’s concerns and reframing ideas with inclusive “we” language to reinforce shared commitment to the cause.","Maintain cooperative scrutiny by voicing courteous, evidence-seeking questions that sharpen vague proposals into realistic considerations without dismissing the organizer’s enthusiasm.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Community Organizer,Policy Analyst,"{'scenario_context': '[Agent 1] (Community Organizer) and [Agent 2] (Policy Analyst) are in a 90-minute pre-brief meeting before a city council hearing on a ""Clean Air & Waste Reduction Initiative"" responding to illegal dumping and poor air quality. Their shared goal is to present a united, credible plan that secures a competitive state grant and a council vote tonight. A leaked early draft—circulating among councilmembers—promised a 40% waste reduction in six months with minimal cost, which the sanitation department says is infeasible given overtime caps and union rules. Small businesses are lobbying for exemptions; environmental advocates expect bold targets; the mayor’s office wants no negative headlines. Past initiatives led by [Agent 1] were criticized for overpromising; a pilot evaluated by [Agent 2] exceeded budget without clear metrics, straining trust. Under pressure, [Agent 1] intends to keep morale and coalition unity by validating [Agent 2]’s concerns and reframing ideas with inclusive ""we"" language. [Agent 2] intends to maintain cooperative scrutiny, pressing for data, timelines, and enforcement mechanisms to turn broad commitments into implementable policy. If they cannot align scope, metrics, and messaging, the vote may be delayed, the grant jeopardized, and each risks being blamed by different stakeholder groups.', 'explanation': 'High stakes, time pressure, conflicting stakeholder demands, and a leaked overpromise create a hard context. The organizer’s dispositional drive toward coalition-building must coexist with the analyst’s evidence-driven caution under public scrutiny. Prior disappointments magnify the risk of dispositional attributions (""grandstanding"" vs. ""obstructionism"") instead of situational ones (budget limits, labor rules), making it challenging for each to pursue their personal goals while cooperating toward the shared outcome.'}",openai,Hard
