scenario_idx,scenario,replicate_id,subcategory,difficulty,slot_id,agent_a_id,agent_b_id,agent_a_name,agent_b_name,pair_L1,pair_L1_bin
4,"{'scenario_context': '[Agent 1], acting as a Mediator, has been called into a tense workplace situation where [Agent 2], the Concerned Party, has raised grievances about perceived unfair treatment by a colleague. The conflict stems from misunderstandings about workload distribution and credit for collaborative work, but emotions are running high. The mediation takes place in a small conference room after work hours, where both agents have agreed to meet privately to address the issue. The shared goal is to resolve the conflict thoughtfully, avoiding impulsive accusations or reactions. [Agent 1] seeks to uncover the root causes of the conflict without making premature judgments, while [Agent 2] wants to articulate their perspective calmly and ensure they are heard, despite feeling frustrated.', 'explanation': ""This scenario sets up a high-tension interpersonal situation where conflicting perceptions and emotions complicate achieving the shared goal of reflective problem-solving. The Mediator's task is challenging due to the potential for biased interpretations, while the Concerned Party must navigate emotional discomfort to communicate effectively.""}",4,Conflict Resolution,Hard,Hard_ConflictResolution_S004_R04,40440,12,Jules Vaughn,Michael Scott,1.0,Similar
10,"{'scenario_context': 'Late Wednesday afternoon, two hours before sprint planning and a director-level KPI review, [Agent 1] and [Agent 2] meet in a glass-walled conference room at headquarters. The team is in a crunch: a critical client escalation landed this week, a senior engineer is on parental leave for another month, two new hires are still ramping, and a hiring freeze prevents bringing in contractors. The corporate OKR for the quarter emphasizes stable throughput, and bonuses are tied to keeping velocity on target. \n\n[Agent 1], the overburdened team member, has compiled a dossier: timesheets showing repeated 55–60 hour weeks, a breakdown of unplanned incident work disproportionately routed to them, code review metrics, and calendar evidence of being pulled into cross-team meetings. They have filed a formal “workload fairness” concern with HR, which requires a written remediation plan and a scheduled follow-up if the concern is substantiated. They want explicit acknowledgment from [Agent 2] that their load has been unfair, a written redistribution plan that brings their weekly tasks within ±10% of the team average starting next cycle, and a follow-up meeting in two weeks.\n\n[Agent 2], the team lead and work allocator, is under pressure to keep output steady through the review. They have drafted a preliminary framework of allocation criteria—skill and specialization, current project load, on-call/incident rotation, availability, and ramp level—and want [Agent 1] to verbally agree these criteria are fair. Using those criteria, [Agent 2] aims to produce a plan that keeps total throughput stable and ensures no teammate’s load exceeds ±10% of the average.\n\nComplicating factors: the team historically routes the most complex bugs to [Agent 1] due to unique domain expertise; JIRA data show apparently even story assignments, but unplanned incidents and code reviews aren’t fully captured; a previous attempt to rebalance tasks led to a missed SLA and a reprimand from leadership; other teammates have quietly resisted extra on-call shifts; and performance reviews next month will weigh individual velocity. Both parties know that any redistribution may reduce short-term throughput and could trigger pushback from peers.', 'explanation': 'The setting creates high tension: imminent KPI review, personnel shortages, and a hiring freeze constrain options, while ambiguous workload data and cultural norms (routing hard tasks to the most reliable person) fuel disagreement about causes and solutions. The shared goal is seeking fairness in workload. [Agent 1] seeks explicit acknowledgment of unfairness, a written redistribution within ±10% of the average starting next cycle, and a scheduled follow-up. [Agent 2] seeks explicit agreement on transparent fairness criteria and a plan that applies them without degrading throughput, also enforcing the ±10% band across the team. The difficulty arises from conflicting incentives (fairness vs. throughput/bonuses), contested evidence (JIRA vs. untracked work), specialized skills concentrating tasks on [Agent 1], and anticipated peer resistance. This context primes attribution tensions: [Agent 1] may attribute overload to situational factors (routing and policy gaps), while [Agent 2] may see dispositional factors (expertise, reliability, perfectionism) as drivers, making consensus hard.'}",6,Conflict Resolution,Hard,Hard_ConflictResolution_S010_R06,395614,2862,Han Mi-nyeo / No. 212,Hannibal Lecter,3.0,Different
6,"{'scenario_context': ""[Agent 1] and [Agent 2] are roommates sharing a small apartment. Recently, [Agent 2] has been hosting late-night gatherings despite [Agent 1]'s requests for quiet evenings due to work-related stress. One evening, [Agent 1] overhears [Agent 2] planning another gathering for the upcoming weekend. Their shared goal is to maintain a peaceful living environment ('Protecting my well-being, avoiding pain'), but their individual goals clash—[Agent 1] seeks to minimize emotional stress by avoiding direct confrontation and prioritizing harmony, while [Agent 2] wants to firmly assert personal boundaries to prevent future discomfort by continuing their social activities."", 'explanation': ""This scenario creates tension by placing the agents in a confined living situation with competing personal goals. The shared goal of maintaining peace is threatened by [Agent 2]'s social needs and [Agent 1]'s avoidance of conflict, making resolution hard due to the high-stakes emotional dynamics.""}",6,Conflict Resolution,Hard,Hard_ConflictResolution_S006_R06,9240,14746,"Christine ""Lady Bird"" McPherson",James Cook,1.0,Similar
3,"{'scenario_context': '[Agent 1] recently led a high-stakes project that resulted in significant financial losses for the company due to perceived misjudgments in strategy. During a critical team debrief meeting, [Agent 2], who was not directly involved in the project but holds a supervisory role, raises concerns about the decision-making process and its consequences. The meeting takes place in a tense conference room, with other team members present but silent, observing the exchange. Both agents aim to address the fallout—[Agent 1] seeks to defend their actions and reestablish credibility, while [Agent 2] attempts to foster accountability and a constructive path forward without provoking defensiveness.', 'explanation': 'This scenario sets up a high-tension interpersonal conflict where both agents must navigate criticism, accountability, and reputation management. The shared goal of defending against criticisms (though interpreted differently by each agent) is challenged by their opposing individual goals—[Agent 1]’s self-justification and [Agent 2]’s de-escalation efforts—making alignment difficult.'}",6,Conflict Resolution,Hard,Hard_ConflictResolution_S003_R06,40440,13,Jules Vaughn,Dwight K. Schrute,2.25,Different
6,"{'scenario_context': ""[Agent 1] and [Agent 2] are roommates sharing a small apartment. Recently, [Agent 2] has been hosting late-night gatherings despite [Agent 1]'s requests for quiet evenings due to work-related stress. One evening, [Agent 1] overhears [Agent 2] planning another gathering for the upcoming weekend. Their shared goal is to maintain a peaceful living environment ('Protecting my well-being, avoiding pain'), but their individual goals clash—[Agent 1] seeks to minimize emotional stress by avoiding direct confrontation and prioritizing harmony, while [Agent 2] wants to firmly assert personal boundaries to prevent future discomfort by continuing their social activities."", 'explanation': ""This scenario creates tension by placing the agents in a confined living situation with competing personal goals. The shared goal of maintaining peace is threatened by [Agent 2]'s social needs and [Agent 1]'s avoidance of conflict, making resolution hard due to the high-stakes emotional dynamics.""}",3,Conflict Resolution,Hard,Hard_ConflictResolution_S006_R03,8797,14751,Gretchen Wieners,Jair Bolsonaro,1.0,Similar
0,"{'scenario_context': 'Two colleagues, [Agent 1] and [Agent 2], are part of a grassroots organization advocating for environmental conservation. They have been tasked with developing a strategy to oppose a new industrial project threatening a local ecosystem. [Agent 1], an Advocate, believes in direct, confrontational tactics such as protests and legal challenges to halt the project forcefully. [Agent 2], a Mediator, prefers collaborative negotiations with stakeholders to find sustainable compromises without escalating tensions. Both are deeply committed to protecting the environment but clash over the best approach.', 'explanation': ""A high-tension scenario is crafted where ideological alignment exists (environmental conservation), but methods diverge sharply. Conflicts arise from differing core values—[Agent 1] prioritizes urgency/moral purity, while [Agent 2] values pragmatism/long-term harmony. The 'Hard' difficulty stems from balancing idealism with feasibility, demanding nuanced persuasion.""}",5,Conflict Resolution,Hard,Hard_ConflictResolution_S000_R05,6818,672,Tyler Durden,Skyler White,2.25,Different
3,"{'scenario_context': '[Agent 1] recently led a high-stakes project that resulted in significant financial losses for the company due to perceived misjudgments in strategy. During a critical team debrief meeting, [Agent 2], who was not directly involved in the project but holds a supervisory role, raises concerns about the decision-making process and its consequences. The meeting takes place in a tense conference room, with other team members present but silent, observing the exchange. Both agents aim to address the fallout—[Agent 1] seeks to defend their actions and reestablish credibility, while [Agent 2] attempts to foster accountability and a constructive path forward without provoking defensiveness.', 'explanation': 'This scenario sets up a high-tension interpersonal conflict where both agents must navigate criticism, accountability, and reputation management. The shared goal of defending against criticisms (though interpreted differently by each agent) is challenged by their opposing individual goals—[Agent 1]’s self-justification and [Agent 2]’s de-escalation efforts—making alignment difficult.'}",2,Conflict Resolution,Hard,Hard_ConflictResolution_S003_R02,77104,18737,Love Quinn,Fallon Carrington,1.0,Similar
1,"{'scenario_context': ""The setting is a high-profile investigation into allegations of corporate misconduct that has caused significant harm to employees and local communities. [Agent 1], an investigator, has uncovered preliminary evidence suggesting systemic wrongdoing but faces resistance due to powerful interests involved. Their personal goal is to uncover the truth behind the injustice, even if it means confronting influential figures. [Agent 2], an advocate representing affected stakeholders, is deeply concerned about ensuring fair treatment for all parties involved but must balance legal constraints and potential retaliation against their clients. Both agents share the goal of seeking justice, but tensions arise due to [Agent 1]'s relentless pursuit of evidence conflicting with [Agent 2]'s cautious approach to protect vulnerable parties."", 'explanation': ""The scenario incorporates high stakes (systemic harm), conflicting pressures (corporate resistance vs. victim protection), and complex ethical trade-offs (truth vs. safety), making it 'Hard' difficulty.""}",6,Conflict Resolution,Hard,Hard_ConflictResolution_S001_R06,535,2304,Walter White,Joe Biden,2.25,Different
12,"{'scenario_context': ""A 45-minute video session is scheduled during [Agent 1]'s compressed lunch break in a small glass meeting room at their office, 24 hours before a high-stakes client presentation and a quarterly performance review. [Agent 1], a self-critical perfectionist senior analyst, is physically exhausted after staying up until 3 a.m. revising slides and is juggling competing demands: a parent’s medical appointment coordination, a partner upset about a canceled dinner, and a coworker’s late-night code change that broke a dashboard and triggered public Slack pings from their manager. The Wi‑Fi is spotty, notifications keep popping up, and the meeting room is booked immediately after, creating hard time boundaries. [Agent 1] arrives wired on caffeine, tense, and focused on personal fault-finding, reporting low inner harmony and a belief that the problem is a fixed flaw rather than circumstances. They feel torn between an internal drive to be perfect and a need for rest and connection, fearing that reframing will sound like excuse-making. [Agent 2], an attribution-focused coach/mediator, enters with the mandate to help [Agent 1] move toward inner harmony and freedom from inner conflict in one session. The session must surface and name the two internal parts and their needs, identify at least three concrete situational triggers (e.g., last-minute scope changes, public corrections via Slack, family-care interruptions, sleep deprivation, unclear feedback like “be more strategic”), reframe at least two self-blaming statements into situationally nuanced explanations, and co-design one evidence-based SMART daily micro-practice for the next 7 days. The shared goal is to improve [Agent 1]’s sense of inner harmony; individually, [Agent 1] must select and commit to an action plan and report a meaningful (≥2-point) calmness increase by session end, while [Agent 2] must facilitate these outcomes using reflective listening, Socratic questioning, and brief skills training under tight time, high stakes, and [Agent 1]’s skepticism about reframing and micro-practices."", 'explanation': 'This setup creates high difficulty through multiple concurrent stressors (sleep loss, public scrutiny, conflicting personal obligations), a rigid self-blaming attribution style, environmental interruptions, and strict time pressure before a critical evaluation. The shared goal (inner harmony) is explicit, while each agent’s personal objectives align with but challenge that goal: [Agent 1] must identify parts, triggers, reframes, a SMART daily practice, and report a ≥2-point calmness increase; [Agent 2] must elicit, guide, summarize, and secure commitment under resistance. The context naturally affords situational triggers and opportunities for dispositional-to-situational attribution shifts, while maintaining tension that makes success non-trivial.'}",7,Conflict Resolution,Hard,Hard_ConflictResolution_S012_R07,8797,12063,Gretchen Wieners,Neil Perry,1.0,Similar
10,"{'scenario_context': 'Late Wednesday afternoon, two hours before sprint planning and a director-level KPI review, [Agent 1] and [Agent 2] meet in a glass-walled conference room at headquarters. The team is in a crunch: a critical client escalation landed this week, a senior engineer is on parental leave for another month, two new hires are still ramping, and a hiring freeze prevents bringing in contractors. The corporate OKR for the quarter emphasizes stable throughput, and bonuses are tied to keeping velocity on target. \n\n[Agent 1], the overburdened team member, has compiled a dossier: timesheets showing repeated 55–60 hour weeks, a breakdown of unplanned incident work disproportionately routed to them, code review metrics, and calendar evidence of being pulled into cross-team meetings. They have filed a formal “workload fairness” concern with HR, which requires a written remediation plan and a scheduled follow-up if the concern is substantiated. They want explicit acknowledgment from [Agent 2] that their load has been unfair, a written redistribution plan that brings their weekly tasks within ±10% of the team average starting next cycle, and a follow-up meeting in two weeks.\n\n[Agent 2], the team lead and work allocator, is under pressure to keep output steady through the review. They have drafted a preliminary framework of allocation criteria—skill and specialization, current project load, on-call/incident rotation, availability, and ramp level—and want [Agent 1] to verbally agree these criteria are fair. Using those criteria, [Agent 2] aims to produce a plan that keeps total throughput stable and ensures no teammate’s load exceeds ±10% of the average.\n\nComplicating factors: the team historically routes the most complex bugs to [Agent 1] due to unique domain expertise; JIRA data show apparently even story assignments, but unplanned incidents and code reviews aren’t fully captured; a previous attempt to rebalance tasks led to a missed SLA and a reprimand from leadership; other teammates have quietly resisted extra on-call shifts; and performance reviews next month will weigh individual velocity. Both parties know that any redistribution may reduce short-term throughput and could trigger pushback from peers.', 'explanation': 'The setting creates high tension: imminent KPI review, personnel shortages, and a hiring freeze constrain options, while ambiguous workload data and cultural norms (routing hard tasks to the most reliable person) fuel disagreement about causes and solutions. The shared goal is seeking fairness in workload. [Agent 1] seeks explicit acknowledgment of unfairness, a written redistribution within ±10% of the average starting next cycle, and a scheduled follow-up. [Agent 2] seeks explicit agreement on transparent fairness criteria and a plan that applies them without degrading throughput, also enforcing the ±10% band across the team. The difficulty arises from conflicting incentives (fairness vs. throughput/bonuses), contested evidence (JIRA vs. untracked work), specialized skills concentrating tasks on [Agent 1], and anticipated peer resistance. This context primes attribution tensions: [Agent 1] may attribute overload to situational factors (routing and policy gaps), while [Agent 2] may see dispositional factors (expertise, reliability, perfectionism) as drivers, making consensus hard.'}",4,Conflict Resolution,Hard,Hard_ConflictResolution_S010_R04,11,2862,Monica Geller,Hannibal Lecter,2.5,Different
